time_myr,r_over_R0,radius_cm,velocity_km_s,pressure_erg_cm3,sfr_msun_yr,gas_msun,formed_msun,incident_shell_msun,central_gas_msun,other_shell_msun,halo_msun,gravity_dyne,accretion_dyne,pressure_dyne,uv_dyne,lya_dyne,sn_per_myr,uv_erg_s,lya_erg_s,shell_temperature_K,force_multiplier,shell_loading_msun_myr
0.000000000000000000e+00,1.000000000000000000e+00,3.284137371462504940e+20,1.349156865721391763e-01,0.000000000000000000e+00,4.335262237771667256e-03,1.571841851494696364e+07,0.000000000000000000e+00,1.571841851494696364e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+08,-2.692041823144736050e+32,-4.632926617389898747e+30,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04,2.187490501937836314e+02,6.113292879886081209e+04
1.000000000000000000e+00,1.000000000000000000e+00,3.288397747750929695e+20,1.350907071413160465e-01,9.303055267412632358e-12,4.350958144207346841e-03,1.577532737369555607e+07,4.343105076398700476e+03,1.577532737369555607e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.003896827391810715e+08,-2.705293335093123936e+32,-4.657013858161065148e+30,1.264166126584831822e+31,6.732728825961742506e+24,1.837380681354710358e+31,3.949658129853300004e+00,1.409460742439762361e+40,2.517379495442679054e+39,1.000000000000000000e+04,2.188120113563489042e+02,6.137115327034582151e+04
2.000000000000000000e+00,1.000000000000000000e+00,3.292663650850222899e+20,1.352659547574762422e-01,3.271077858779958325e-11,4.366715545215331395e-03,1.583245919414078444e+07,8.701936786597594619e+03,1.583245919414078444e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.007808840047343075e+08,-2.718612982993676154e+32,-4.681226331903932274e+30,4.456516143577356386e+31,8.539972634339364053e+24,2.218963467424573043e+31,6.483320729526439230e+00,1.785970993794395672e+40,3.039307231995319649e+39,1.000000000000000000e+04,2.188750466252436127e+02,6.161030606147672370e+04
3.000000000000000000e+00,1.000000000000000000e+00,3.296935087930089800e+20,1.354414297151584345e-01,6.571833237779045956e-11,4.382534680338259249e-03,1.588981484479560889e+07,1.307655674485862255e+04,1.588981484479560889e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.011736097140948623e+08,-2.732001120318239798e+32,-4.705564689722433943e+30,8.976709928667084711e+31,9.685645174009066257e+24,2.422886654616662914e+31,8.481553384506595350e+00,2.023494719889930665e+40,3.317663579755430999e+39,1.000000000000000000e+04,2.189381557778295928e+02,6.185039078975493612e+04
4.000000000000000000e+00,1.000000000000000000e+00,3.301212066169534546e+20,1.356171323092834335e-01,1.064691444971253945e-10,4.398415790052250321e-03,1.594739519755752385e+07,1.746702680545859039e+04,1.594739519755752385e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.015678658077571243e+08,-2.745458102375622243e+32,-4.730029586105683612e+30,1.458077056137406489e+32,1.054520171462333190e+25,2.557261339369126025e+31,1.019989225565095836e+01,2.200815062087858949e+40,3.500652861789398525e+39,1.000000000000000000e+04,2.190013385920138944e+02,6.209141108677865850e+04
5.000000000000000000e+00,1.000000000000000000e+00,3.305494592756875919e+20,1.357930628351546043e-01,1.538514004240627207e-10,4.414359115770541235e-03,1.600520112772174552e+07,2.187340906362049282e+04,1.600520112772174552e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.019636582493645549e+08,-2.758984286321135174e+32,-4.754621678945577254e+30,2.112439209283536181e+32,1.124281287283917186e+25,2.655519607714678910e+31,1.173871387526381938e+01,2.344003839351341817e+40,3.634109615123942012e+39,1.000000000000000000e+04,2.190645948462476440e+02,6.233337059829779901e+04
5.598303202918716082e+00,1.000000000000000000e+00,3.308059497970032968e+20,1.358984317368432115e-01,1.850420571178352968e-10,0.000000000000000000e+00,1.603989482107113302e+07,2.451739566447772086e+04,1.603989482107113302e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.022011991948148906e+08,-2.767110281935098212e+32,-4.769396297646626121e+30,2.544643435293435883e+32,1.160774225365819172e+25,2.703387521612446861e+31,1.259607178540408157e+01,2.418602160001702834e+40,3.698977774051591797e+39,1.000000000000000000e+04,2.191024762884719337e+02,6.247858633534809633e+04
6.000000000000000000e+00,1.000030281727103842e+00,3.309882900825491374e+20,1.617248006416331096e-01,2.056010391947348388e-10,0.000000000000000000e+00,1.606501188418642804e+07,2.451739566447772086e+04,1.606501188418642804e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.023609930257999003e+08,-2.772803019895749574e+32,-4.789496700337420054e+30,2.830482199760409166e+32,7.113897921218177910e+24,1.401730955222754393e+31,1.132519962477071473e+01,1.481574212224686739e+40,1.917703719229889628e+39,1.000000000000000000e+04,2.191310181583589554e+02,6.257627298426913330e+04
7.000000000000000000e+00,1.001783920865299216e+00,3.319988369671201096e+20,5.607929534162258145e-01,2.461096611653674878e-10,0.000000000000000000e+00,1.612771000260549225e+07,2.451739566447772086e+04,1.612771000260549225e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.027598761472757906e+08,-2.782356624758086406e+32,-4.972275169395428861e+30,3.408879511562813237e+32,4.549956013123037783e+24,7.215223122808406398e+30,9.296925723686575438e+00,9.496841372747711230e+39,9.877246734097180102e+38,1.000000000000000000e+04,2.189951849170730895e+02,6.282012191891166003e+04
8.000000000000000000e+00,1.009519696097174624e+00,3.349965461255384596e+20,1.403508445979822383e+00,2.713242559038787962e-10,0.000000000000000000e+00,1.619065244476982206e+07,2.451739566447772086e+04,1.619065244476982206e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.031603136474255919e+08,-2.775407299767160273e+32,-5.332703437500234699e+30,3.826301107609744938e+32,3.469731833718783672e+24,4.806177789973671560e+30,8.223256674712754233e+00,7.344863735042219638e+39,6.605573159833771266e+38,1.000000000000000000e+04,2.181273022608493477e+02,6.306492109076217457e+04
9.000000000000000000e+00,1.026854290368699463e+00,3.411908548973190840e+20,2.562688418394953427e+00,2.778270560740781261e-10,0.000000000000000000e+00,1.625384016276689619e+07,2.451739566447772086e+04,1.625384016276689619e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.035623115833946615e+08,-2.742757192419906617e+32,-5.822115306637992257e+30,4.064238309317927854e+32,2.774380191289013143e+24,3.500460855079376265e+30,7.493167775251923679e+00,6.068427671400821656e+39,4.855798091482118203e+38,1.000000000000000000e+04,2.161151975651277155e+02,6.331067420273103926e+04
1.000000000000000000e+01,1.056043143795825756e+00,3.513445721540992041e+20,3.886964090463473909e+00,2.650650253440825386e-10,0.000000000000000000e+00,1.631727411239427887e+07,2.451739566447772086e+04,1.631727411239427887e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.039658760359320790e+08,-2.680829384431110822e+32,-6.381384169580087405e+30,4.111769764696653813e+32,2.250697055273790204e+24,2.671214241516291569e+30,6.946423841105897168e+00,5.200046165165150244e+39,3.763718775511419061e+38,1.000000000000000000e+04,2.127709138417122006e+02,6.355738497215825191e+04
1.100000000000000000e+01,1.097888662106871971e+00,3.657403824431214100e+20,5.228362430310785847e+00,2.373628753927285854e-10,0.000000000000000000e+00,1.638095525317414477e+07,2.451739566447772086e+04,1.638095525317414477e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.043710131094825119e+08,-2.592072701264306331e+32,-6.951815314891881749e+30,3.989959502953063889e+32,1.829705161014107754e+24,2.097488247180424966e+30,6.514004968262755213e+00,4.563087343465094920e+39,3.020983900324561672e+38,1.000000000000000000e+04,2.081478015095593150e+02,6.380505713086962351e+04
1.200000000000000000e+01,1.151916877943312656e+00,3.842366466345114010e+20,6.469777683995202366e+00,2.019718671277211069e-10,0.000000000000000000e+00,1.644488454836773872e+07,2.451739566447772086e+04,1.644488454836773872e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.047777289322785884e+08,-2.483355924834662951e+32,-7.486250777413008653e+30,3.747126123756682239e+32,1.485354197746396409e+24,1.679597174422763573e+30,6.159487578341034109e+00,4.072560976849604971e+39,2.486686225524861490e+38,1.000000000000000000e+04,2.024905917769241341e+02,6.405369442523325415e+04
1.300000000000000000e+01,1.216759956823479261e+00,4.063924002484948828e+20,7.539564835739320792e+00,1.657377286794095473e-10,0.000000000000000000e+00,1.650906296498998441e+07,2.451739566447772086e+04,1.650906296498998441e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.051860296564335972e+08,-2.363250856917366064e+32,-7.955215879587848479e+30,3.439714542299455642e+32,1.205007124695956048e+24,1.365178995360109891e+30,5.861247640540136139e+00,3.681535011426460697e+39,2.086609253636377192e+38,1.000000000000000000e+04,1.961413551270962614e+02,6.430330061621616187e+04
1.400000000000000000e+01,1.290593041900929938e+00,4.316115078961727406e+20,8.409579591478740568e+00,1.330755118590208050e-10,0.000000000000000000e+00,1.657349147382408753e+07,2.451739566447772086e+04,1.657349147382408753e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.055959214580346197e+08,-2.239649337452300366e+32,-8.346473711403608371e+30,3.115258147489833713e+32,9.792817704311536526e+23,1.123439844248244640e+30,5.605397993860253614e+00,3.361631066312695428e+39,1.777805075981811279e+38,1.000000000000000000e+04,1.894464116862293395e+02,6.455387947944128973e+04
1.500000000000000000e+01,1.371494455637989551e+00,4.592622823963114865e+20,9.083057116605715464e+00,1.058339700423312413e-10,0.000000000000000000e+00,1.663817104943622835e+07,2.451739566447772086e+04,1.663817104943622835e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.060074105372357965e+08,-2.118506944154783740e+32,-8.660415948508648995e+30,2.805152725875828014e+32,7.993005921343818495e+23,9.346371559718464000e+29,5.382510136950154234e+00,3.094541086554880034e+39,1.533680892421608754e+38,1.000000000000000000e+04,1.826958735102393234e+02,6.480543480524443294e+04
1.600000000000000000e+01,1.457675502914307142e+00,4.887543165954636513e+20,9.580795052729577321e+00,8.413802129355534348e-11,0.000000000000000000e+00,1.670310267019030638e+07,2.451739566447772086e+04,1.670310267019030638e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.064205031183522344e+08,-2.003630739675252077e+32,-8.904646826757030303e+30,2.525709341009850185e+32,6.566051093306052109e+23,7.853128535108625860e+29,5.185901849586989520e+00,2.867862161189099965e+39,1.336908979592588992e+38,1.000000000000000000e+04,1.761008971042747078e+02,6.505797039873171889e+04
1.700000000000000000e+01,1.547591230747611402e+00,5.195759474055079526e+20,9.930496089757587796e+00,6.728639331376117368e-11,0.000000000000000000e+00,1.676828731826273538e+07,2.451739566447772086e+04,1.676828731826273538e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.068352054499541074e+08,-1.897041643564709580e+32,-9.089737816043773069e+30,2.282628262772539306e+32,5.436215971476686619e+23,6.659096450345133077e+29,5.010673459672533525e+00,2.672857844715181007e+39,1.175725629288837868e+38,1.000000000000000000e+04,1.697970039247655620e+02,6.531149007983710908e+04
1.800000000000000000e+01,1.639970202454726245e+00,5.513047856565439037e+20,1.016026539863936051e+01,5.434015469376828494e-11,0.000000000000000000e+00,1.683372597965729982e+07,2.451739566447772086e+04,1.683372597965729982e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.072515238049612194e+08,-1.799499545876097314e+32,-9.226597865600351888e+30,2.075459481950732928e+32,4.539638260811416837e+23,5.694715518228520310e+29,4.853153914854357431e+00,2.503192027383609401e+39,1.041889792057480986e+38,1.000000000000000000e+04,1.638592465186840172e+02,6.556599768338019203e+04
1.900000000000000000e+01,1.733799542141855943e+00,5.836032697249922417e+20,1.029541946459578661e+01,4.441133015968010579e-11,0.000000000000000000e+00,1.689941964422006533e+07,2.451739566447772086e+04,1.689941964422006533e+07,0.000000000000000000e+00,0.000000000000000000e+00,1.076694644807378352e+08,-1.710973877275976480e+32,-9.325154847038666671e+30,1.900811617954645467e+32,3.824671898809901221e+23,4.908346575129752549e+29,4.710461136855099262e+00,2.354113259335416118e+39,9.294400993083507383e+37,1.000000000000000000e+04,1.583195394269136784e+02,6.582149705912418722e+04
