time_myr,r_over_R0,radius_cm,velocity_km_s,pressure_erg_cm3,sfr_msun_yr,gas_msun,formed_msun,incident_shell_msun,central_gas_msun,other_shell_msun,halo_msun,gravity_dyne,accretion_dyne,pressure_dyne,uv_dyne,lya_dyne,sn_per_myr,uv_erg_s,lya_erg_s,shell_temperature_K,force_multiplier,shell_loading_msun_myr
0.000000000000000000e+00,1.000000000000000000e+00,7.075459479908947067e+20,2.906670353804853835e-01,0.000000000000000000e+00,4.335262237771667082e-02,1.571841851494696438e+08,0.000000000000000000e+00,1.571841851494696438e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+09,-5.799828290799696810e+33,-9.981337820876872194e+31,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+04,2.674934465245885917e+02,6.113292879886081209e+05
1.000000000000000000e+00,1.000000000000000000e+00,7.084638182377319301e+20,2.910441057661892206e-01,9.303055267454172334e-12,4.350958144207345973e-02,1.577532737369555533e+08,4.343105076399445534e+04,1.577532737369555533e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.003896827391810775e+09,-5.828377807836673916e+33,-1.003323220798142200e+32,5.867739377013874963e+31,1.450510583324358655e+26,2.246711070905056532e+32,3.949658129853300181e+01,1.409460742439762216e+41,2.517379495442678329e+40,1.000000000000000000e+04,2.675587989740087664e+02,6.137115327034582151e+05
2.000000000000000000e+00,1.000000000000000000e+00,7.093828791998750392e+20,2.914216653097900789e-01,3.271134732996618321e-11,4.366715545215331395e-02,1.583245919414078593e+08,8.701936786594986916e+04,1.583245919414078593e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.007808840047343016e+09,-5.857074119332635680e+33,-1.008539640134453965e+32,2.068567522433656072e+32,1.839866256897649221e+26,2.713184392589907802e+32,6.483320729526438697e+01,1.785970993794395333e+41,3.039307231995318803e+40,1.000000000000000000e+04,2.676242169593923563e+02,6.161030606147672515e+05
3.000000000000000000e+00,1.000000000000000000e+00,7.103031324219903836e+20,2.917997146458525259e-01,6.571918612347794383e-11,4.382534680338259769e-02,1.588981484479561150e+08,1.307655674485564232e+05,1.588981484479561150e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.011736097140948534e+09,-5.885917986819586651e+33,-1.013783180372712586e+32,4.166673785230090338e+32,2.086691883627953699e+26,2.962397303039194358e+32,8.481553384506595705e+01,2.023494719889930568e+41,3.317663579755430999e+40,1.000000000000000000e+04,2.676897002064807225e+02,6.185039078975493321e+05
4.000000000000000000e+00,1.000000000000000000e+00,7.112245794507474862e+20,2.921782544097639711e-01,1.064702412275451843e-10,4.398415790052250668e-02,1.594739519755752385e+08,1.746702680546045303e+05,1.594739519755752385e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.015678658077571154e+09,-5.914910175787146581e+33,-1.019053982518323578e+32,6.767863896838615752e+32,2.271876188819628005e+26,3.126556895292160423e+32,1.019989225565095978e+02,2.200815062087859723e+41,3.500652861789398042e+40,1.000000000000000000e+04,2.677552484416763150e+02,6.209141108677864540e+05
5.000000000000000000e+00,1.000000000000000000e+00,7.121472218348227133e+20,2.925572852377364419e-01,1.538523472732414941e-10,4.414359115770542102e-02,1.600520112772174776e+08,2.187340906361937523e+05,1.600520112772174776e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.019636582493645549e+09,-5.944051455703115085e+33,-1.024352188309798852e+32,9.805134588960620927e+32,2.422170702588493137e+26,3.246547208054157395e+32,1.173871387526381795e+02,2.344003839351341720e+41,3.634109615123941528e+40,1.000000000000000000e+04,2.678208613920411381e+02,6.233337059829779901e+05
6.000000000000000000e+00,1.000000000000000000e+00,7.130710611249013719e+20,2.929368077668070280e-01,2.070929909573789828e-10,4.430364899847142462e-02,1.606323351399446428e+08,2.629576585643887520e+05,1.606323351399446428e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.023609930257999063e+09,-5.973342600034137758e+33,-1.029677940222569462e+32,1.323246907801089469e+33,2.549905072138245122e+26,3.340083425910243599e+32,1.314994756352036234e+02,2.465084490437300598e+41,3.737895247439939855e+40,1.000000000000000000e+04,2.678865387852959543e+02,6.257627298426913330e+05
7.000000000000000000e+00,1.000000000000000000e+00,7.139960988736803308e+20,2.933168226348394358e-01,2.656100693325883689e-10,4.446433385580497721e-02,1.612149323850611150e+08,3.073415976385772228e+05,1.612149323850611150e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.027598761472757936e+09,-6.002784386266526788e+33,-1.035031381472815828e+32,1.701555334898203402e+33,2.661823403281925735e+26,3.416318048276670605e+32,1.446463626122092876e+02,2.570637296505059614e+41,3.822271576362476007e+40,1.000000000000000000e+04,2.679522803498197732e+02,6.282012191891166149e+05
8.000000000000000000e+00,1.000000000000000000e+00,7.149223366358706422e+20,2.936973304805246543e-01,3.289395207623934855e-10,4.462564817217172519e-02,1.617998118682474494e+08,3.518865360955893993e+05,1.617998118682474494e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.031603136474255919e+09,-6.032377595927132287e+33,-1.040412656021320472e+32,2.112728309324691360e+33,2.762031470435876550e+26,3.480534412864484377e+32,1.570310436529886715e+02,2.664670428085995987e+41,3.893162521531599175e+40,1.000000000000000000e+04,2.680180858146487708e+02,6.306492109076217748e+05
9.000000000000000000e+00,1.000000000000000000e+00,7.158497759682004255e+20,2.940783319433822873e-01,3.967017798095173695e-10,4.478759439955538879e-02,1.623869824796939194e+08,3.965931046198010445e+05,1.623869824796939194e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.035623115833946586e+09,-6.062123014604350836e+33,-1.045821908577336975e+32,2.554569953325537632e+33,2.853220088407510345e+26,3.536026522631049572e+32,1.687951641166903869e+02,2.749812074811627019e+41,3.954261578730860671e+40,1.000000000000000000e+04,2.680839549094753806e+02,6.331067420273104217e+05
1.000000000000000000e+01,1.000000000000000000e+00,7.167784184294172262e+20,2.944598276637617751e-01,4.685759721031140348e-10,4.495017499949494760e-02,1.629764531442354620e+08,4.414619363521039486e+05,1.629764531442354620e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.039658760359320760e+09,-6.092021431969253916e+33,-1.051259284602484503e+32,3.025239206361027587e+33,2.937251729654118344e+26,3.584969255910036525e+32,1.800422024965814103e+02,2.827882243273138005e+41,4.008007445560439419e+40,1.000000000000000000e+04,2.681498873646476113e+02,6.355738497215824900e+05
1.100000000000000000e+01,1.000000000000000000e+00,7.177082655802907689e+20,2.948418182828428935e-01,5.442858447315039852e-10,4.511339244312178448e-02,1.635682328214863241e+08,4.864936668998897076e+05,1.635682328214863241e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.043710131094825149e+09,-6.122073641796797057e+33,-1.056724930314656399e+32,3.523163512063242176e+33,3.015469993610179199e+26,3.628862951602626277e+32,1.908504324363472051e+02,2.900194507572645301e+41,4.056082481761140378e+40,1.000000000000000000e+04,2.682158829111681371e+02,6.380505713086962933e+05
1.200000000000000000e+01,1.000000000000000000e+00,7.186393189836149228e+20,2.952243044426373086e-01,6.235883313917013121e-10,4.527724921119712087e-02,1.641623305059757829e+08,5.316889343464076519e+05,1.641623305059757829e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.047777289322785854e+09,-6.152280441987168484e+33,-1.062218992691954161e+32,4.046968223077017926e+33,3.088877321321016891e+26,3.668780119583973348e+32,2.012808525511888718e+02,2.967729329351937022e+41,4.099689321842418070e+40,1.000000000000000000e+04,2.682819412806933883e+02,6.405369442523324396e+05
1.300000000000000000e+01,1.000000000000000000e+00,7.195715802042117652e+20,2.956072867859897424e-01,7.062688807061300266e-10,4.544174779414952847e-02,1.647587552272841632e+08,5.770483792604804039e+05,1.647587552272841632e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.051860296564335942e+09,-6.182642634587219621e+33,-1.067741619476638725e+32,4.595448884018615087e+33,3.158241478284789759e+26,3.705509376809655298e+32,2.113820192018467878e+02,3.031237951960984215e+41,4.139712264309063075e+40,1.000000000000000000e+04,2.683480622055325853e+02,6.430330061621615896e+05
1.400000000000000000e+01,1.000000000000000000e+00,7.205050508089328927e+20,2.959907659565786942e-01,7.921351175232151663e-10,4.560689069211260743e-02,1.653575160501794219e+08,6.225726447062492371e+05,1.653575160501794219e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.055959214580346227e+09,-6.213161025812037409e+33,-1.073292959179105339e+32,5.167532187240074041e+33,3.224163448889184239e+26,3.739644468920161758e+32,2.211932698673852542e+02,3.091308662047603357e+41,4.176817089700542639e+40,1.000000000000000000e+04,2.684142454186468854e+02,6.455387947944129119e+05
1.500000000000000000e+01,1.000000000000000000e+00,7.214397323666625659e+20,2.963747425989177176e-01,8.810131514315294302e-10,4.577268041496278944e-02,1.659586220747542083e+08,6.682623762528896332e+05,1.659586220747542083e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.060074105372357965e+09,-6.243836426066603084e+33,-1.078873161081873390e+32,5.762253616748661217e+33,3.287123824665423806e+26,3.771642444350135778e+32,2.307472093791553789e+02,3.148412048098009780e+41,4.211516286848265419e+40,1.000000000000000000e+04,2.684804906536487579e+02,6.480543480524442857e+05
1.536583329675283416e+01,1.000000000000000000e+00,7.217819728485909791e+20,2.965153384521648228e-01,9.142485732254723678e-10,0.000000000000000000e+00,1.661791143825063109e+08,6.850186679798662663e+05,1.661791143825063109e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.061583472229166389e+09,-6.255097895374807215e+33,-1.080921825029793159e+32,5.985304049882465874e+33,3.309487519350709794e+26,3.782882014605983677e+32,2.341827436590823766e+02,3.168630367721218924e+41,4.223685191051596842e+40,1.000000000000000000e+04,2.685047408091418220e+02,6.489770682183306199e+05
1.543302659414977285e+01,1.000000000106716413e+00,7.218448505320307425e+20,2.965411692408067568e-01,9.203572913092943940e-10,0.000000000000000000e+00,1.662227269900879562e+08,6.850186679798662663e+05,1.662227269900879562e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.061860934033228755e+09,-6.257284555840851842e+33,-1.081298529694496366e+32,6.026345774368609783e+33,3.069554102728157642e+26,3.394030037916339162e+32,2.322345612438570868e+02,2.938649746494300381e+41,3.789442346252011417e+40,1.000000000000000000e+04,2.685103808477641678e+02,6.491466887454520911e+05
1.545543068948499510e+01,1.000000000000000000e+00,7.218658167977752658e+20,2.965472006217704237e-01,9.223806269240944481e-10,0.000000000000000000e+00,1.662372711680350900e+08,6.850186679798662663e+05,1.662372711680350900e+08,0.000000000000000000e+00,0.000000000000000000e+00,1.061953463557959914e+09,-6.258013819057839005e+33,-1.081424056972558225e+32,6.039945087769012170e+33,2.989511514074608194e+26,3.264326047389283850e+32,2.315841201473949411e+02,2.861936504679806868e+41,3.644602016885427461e+40,1.000000000000000000e+04,2.685122614009193853e+02,6.492032547539238585e+05
