mass_msun,alpha1.35_mc0.2,alpha1.35_mc5,alpha1.35_mc10,alpha2.35_mc0.2,alpha2.35_mc5,alpha2.35_mc10
8.000000000000000167e-02,1.330310634364519767e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.239303572895573247e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.057308587010750256e-02,1.383991336328950494e-02,1.961440613989748780e-321,0.000000000000000000e+00,1.280141569355682130e+00,6.455511135126311471e-319,0.000000000000000000e+00
8.115027708289644648e-02,1.439034009372519053e-02,8.542434541846820049e-318,0.000000000000000000e+00,1.321586753118993096e+00,2.789097032150530787e-315,0.000000000000000000e+00
8.173160304729042147e-02,1.495439601997464348e-02,3.380489224895830413e-314,0.000000000000000000e+00,1.363620389161499746e+00,1.095876371352079538e-311,0.000000000000000000e+00
8.231709338288586975e-02,1.553207767262155918e-02,1.217526365855627208e-310,0.000000000000000000e+00,1.406222856374822250e+00,3.918865622054605699e-308,0.000000000000000000e+00
8.290677792146151914e-02,1.612336849792986304e-02,3.995236243096534502e-307,0.000000000000000000e+00,1.449373674150748803e+00,1.276804638505834356e-304,0.000000000000000000e+00
8.350068670849816743e-02,1.672823875101319552e-02,1.195724143152595542e-303,0.000000000000000000e+00,1.493051530667896420e+00,3.794136709617237318e-301,0.000000000000000000e+00
8.409885000470956884e-02,1.734664541221691073e-02,3.267367111711874019e-300,0.000000000000000000e+00,1.537234312794420354e+00,1.029389893878579404e-297,0.000000000000000000e+00
8.470129828758445056e-02,1.797853212680914151e-02,8.160035959201009704e-297,0.000000000000000000e+00,1.581899137517070564e+00,2.552548657577691420e-294,0.000000000000000000e+00
8.530806225293911804e-02,1.862382916801111690e-02,1.864477395987851885e-293,0.000000000000000000e+00,1.627022384803529675e+00,5.790806716673681844e-291,0.000000000000000000e+00
8.591917281648175919e-02,1.928245342333575335e-02,3.901501253740646375e-290,0.000000000000000000e+00,1.672579731802321445e+00,1.203133135020463713e-287,0.000000000000000000e+00
8.653466111538740679e-02,1.995430840413814702e-02,7.484273394110151740e-287,0.000000000000000000e+00,1.718546188281946163e+00,2.291561780850046654e-284,0.000000000000000000e+00
8.715455850988450270e-02,2.063928427822290038e-02,1.317466442397279147e-283,0.000000000000000000e+00,1.764896133209026940e+00,4.005174835305781835e-281,0.000000000000000000e+00
