time_myr,analytic_z6_msun,z3_chabrier_growth1,z3_chabrier_growth0,z3_topheavy_growth1,z3_topheavy_growth0,z6_chabrier_growth1,z6_chabrier_growth0,z6_topheavy_growth1,z6_topheavy_growth0,z9_chabrier_growth1,z9_chabrier_growth0,z9_topheavy_growth1,z9_topheavy_growth0
1.000000000000000000e+01,8.574619628206871033e+09,8.019950031833687782e+09,8.170733174171958923e+09,6.737387875280590057e+10,6.863686808164864349e+10,1.161198896451719093e+10,1.252664444942236710e+10,9.755759756356694031e+10,1.052188524593802185e+11,1.382619003549949837e+10,1.665111618925252724e+10,1.161849534945662537e+11,1.398476428014140625e+11
1.050000000000000000e+01,9.597588922978115082e+09,9.024220306610754013e+09,9.202426246094440460e+09,7.562959038812326050e+10,7.711856651836741638e+10,1.303793496032653618e+10,1.411843530912725067e+10,1.092769234546029510e+11,1.183047987711869202e+11,1.545180543880790329e+10,1.878388742836899948e+10,1.295388000544338837e+11,1.573802670926369629e+11
1.100000000000000000e+01,1.068641329603036308e+10,1.009692066598720169e+10,1.030587821802265930e+10,8.442129906713150024e+10,8.616295310000775146e+10,1.455630413363728714e+10,1.582266810343127251e+10,1.217180245745079193e+11,1.322729952946247253e+11,1.717087931874750137e+10,2.107021630641569519e+10,1.436169459182923584e+11,1.761186581735852661e+11
1.150000000000000000e+01,1.184204957804096603e+10,1.123913421316904449e+10,1.148239398858952522e+10,9.375505027480261230e+10,9.577774694551823425e+10,1.616802507353394890e+10,1.764158658127872086e+10,1.348846945341813354e+11,1.471371454710541382e+11,1.898304471855629349e+10,2.351350377673423767e+10,1.584125602107074585e+11,1.960842510014292297e+11
1.200000000000000000e+01,1.306542502525136757e+10,1.245190466115831757e+10,1.273324279895739555e+10,1.036365596144592896e+11,1.059703562520181274e+11,1.787395761614612961e+10,1.957738579398504257e+10,1.487801890309514771e+11,1.629105103336033020e+11,2.088784321290945816e+10,2.611709756013934326e+10,1.739181743878895874e+11,2.172979612685834961e+11
1.250000000000000000e+01,1.435743946346690941e+10,1.373623928320822144e+10,1.405966108147188377e+10,1.140712388108493805e+11,1.167479034399611511e+11,1.967489772023646545e+10,2.163221629853296661e+10,1.634072684256372375e+11,1.796059455960643005e+11,2.288473265439885330e+10,2.888429750600381470e+10,1.901257473308485107e+11,2.397802325332514954e+11
1.300000000000000000e+01,1.571896719472248650e+10,1.509311145512220001e+10,1.546285490567260551e+10,1.250642182676136322e+11,1.281172469064552155e+11,2.157158170443751144e+10,2.380818775761257935e+10,1.787682349075319214e+11,1.972359336699161072e+11,2.497309400858265305e+10,3.181836017371593857e+10,2.070267226723554382e+11,2.635510768111999512e+11
1.350000000000000000e+01,1.715085870124326897e+10,1.652346287252341652e+10,1.694400210483856964e+10,1.366203668117832184e+11,1.400850000168786316e+11,2.356468997251144409e+10,2.610737206297988510e+10,1.948649652180868225e+11,2.158126115640860901e+11,2.715223744530963516e+10,3.492250280133579254e+10,2.246120796719074402e+11,2.886301098798790283e+11
1.400000000000000000e+01,1.865394217514960861e+10,1.802820560034493637e+10,1.850425424259082413e+10,1.487443097806929932e+11,1.526575485040706177e+11,2.565485045710213470e+10,2.853180622624378586e+10,2.116989406362195129e+11,2.353477964534356995e+11,2.942140796980210114e+10,3.819990698528979492e+10,2.428723797608907776e+11,3.150365836588433228e+11
1.450000000000000000e+01,2.022902489746445847e+10,1.960822390437158203e+10,2.014473836673453903e+10,1.614404451844338379e+11,1.658410659888958130e+11,2.784264171492879486e+10,3.108349495387372971e+10,2.292712738862156677e+11,2.558530084589140625e+11,3.177979053011734009e+10,4.165372195687533569e+10,2.617978084940947571e+11,3.427894150293036499e+11
1.500000000000000000e+01,2.187689448607532501e+10,2.126437590303710556e+10,2.186655858821187210e+10,1.747129582671163330e+11,1.796415279421856079e+11,3.012859573237897873e+10,3.376441296328621292e+10,2.475827334687930603e+11,2.773394911193483276e+11,3.422651468215274048e+10,4.528706752922734833e+10,2.813782136013375854e+11,3.719072117137858887e+11
1.550000000000000000e+01,2.359832002915576172e+10,2.299749505426800156e+10,2.367079749919635010e+10,1.885658346235893860e+11,1.940647242387664795e+11,3.251320046646095657e+10,3.657650706028553772e+10,2.666337656726144409e+11,2.998182297755277710e+11,3.676065885244111633e+10,4.910303673970835876e+10,3.016031395364693604e+11,4.024082954924876709e+11
1.600000000000000000e+01,2.539405311799552917e+10,2.480839158982847977e+10,2.555851754564300156e+10,2.030028726183525696e+11,2.091162710667911682e+11,3.499690228234026337e+10,3.952169815626882935e+10,2.864245153451087036e+11,3.232999690441898804e+11,3.938125438774002075e+10,5.310469842771051025e+10,3.224618598127400513e+11,4.343107243351999512e+11
1.650000000000000000e+01,2.726482879109799194e+10,2.669785366107573700e+10,2.753076210909231949e+10,2.180276936933934021e+11,2.248016207218851318e+11,3.758010795922980499e+10,4.260188284187425232e+10,3.069548434666798096e+11,3.477952270798500977e+11,4.208728903711013794e+10,5.729509922587468719e+10,3.439434050403806152e+11,4.676323103086964722e+11
1.700000000000000000e+01,2.921136639968086624e+10,2.866664852629102325e+10,2.958855663844298172e+10,2.336437526461227722e+11,2.411260714316216431e+11,4.026318673094735718e+10,4.581893504703691101e+10,3.282243444747354126e+11,3.733143099588893433e+11,4.487771039192414093e+10,6.167726568215397644e+10,3.660365900076507568e+11,5.023906377689489136e+11
1.750000000000000000e+01,3.123437040328868103e+10,3.071552354147200394e+10,3.173290958448036957e+10,2.498543464478355103e+11,2.580947757241866455e+11,4.304647202965394592e+10,4.917470740097650909e+10,3.502323613538559570e+11,3.998673238602333374e+11,4.775142892455475616e+10,6.625420598637978363e+10,3.887300376754775391e+11,5.386030786671084595e+11
1.800000000000000000e+01,3.333453110303452301e+10,3.284520727970427704e+10,3.396481347408124542e+10,2.666626235923907776e+11,2.757127494012468262e+11,4.593026338766703796e+10,5.267103281812421417e+10,3.729780012822430420e+11,4.274641882562437744e+11,5.070732112762413788e+10,7.102891201670805359e+10,4.120122031827429810e+11,5.762868093357668457e+11
1.850000000000000000e+01,3.551252531898957062e+10,3.505641028104176331e+10,3.628524560622848511e+10,2.840715910053872070e+11,2.939848780257069092e+11,4.891482780613191986e+10,5.630972549936644745e+10,3.964601477183817139e+11,4.561146452763164062e+11,5.374423200814776611e+10,7.600436060008723450e+10,4.358713934381001587e+11,6.154588221533294678e+11
1.900000000000000000e+01,3.776901701739679718e+10,3.734982578465914917e+10,3.869516873385630035e+10,3.020841206861986694e+11,3.129159231712465820e+11,5.200040108413922119e+10,6.009258191613457489e+10,4.206774719800094604e+11,4.858282687446892700e+11,5.686097748412783051e+10,8.118351475721066284e+10,4.602957856963724365e+11,6.561359368376278076e+11
1.950000000000000000e+01,4.010465789267157745e+10,3.972613080519010925e+10,4.119553210946047211e+10,3.207029581722974243e+11,3.325105306142991943e+11,5.518718960608221436e+10,6.402138237144470215e+10,4.456284471934041138e+11,5.166144763187296753e+11,6.005634721165815735e+10,8.656932574688316345e+10,4.852734481856892700e+11,6.983348160658934326e+11
2.000000000000000000e+01,4.252008790854412079e+10,4.218598656482052612e+10,4.378727186378382111e+10,3.399307270615249023e+11,3.527732344566502686e+11,5.847537122388954163e+10,6.809789152004706573e+10,4.713113566658607788e+11,5.484825352902408447e+11,6.332910639061262512e+10,9.216473369492738342e+10,5.107923543335162354e+11,7.420719724995402832e+11
2.050000000000000000e+01,4.501593580217891693e+10,4.473003912939682007e+10,4.647131160034582520e+10,3.597699346126793213e+11,3.737084624021293335e+11,6.186509640957574463e+10,7.232385923097401428e+10,4.977243036416613159e+11,5.814415702331811523e+11,6.667799781540160370e+10,9.797266869744682312e+10,5.368403981021576538e+11,7.873637783909493408e+11
