time_myr,z3_chabrier,z3_topheavy,z6_chabrier,z6_topheavy,z9_chabrier,z9_topheavy
1.000000000000000000e+01,7.887709191193104744e+09,6.626392823827752686e+10,1.107722628800520134e+10,9.305877156920248413e+10,1.257112151609554672e+10,1.056088496451298676e+11
1.050000000000000000e+01,8.868073941925739288e+09,7.432214486249804688e+10,1.240849882969434547e+10,1.039939736165996857e+11,1.398374494160108757e+10,1.171959011704193878e+11
1.100000000000000000e+01,9.914005781797273636e+09,8.289333481221850586e+10,1.382130043984318733e+10,1.155631447183285217e+11,1.546729649249083328e+10,1.293257049684170685e+11
1.150000000000000000e+01,1.102640393536102295e+10,9.198215333860794067e+10,1.531593233663930130e+10,1.277653571346670532e+11,1.702041696735687447e+10,1.419841511843910217e+11
1.200000000000000000e+01,1.220612591114908791e+10,1.015929160097444153e+11,1.689262680547011185e+10,1.405991736218720398e+11,1.864168636833456802e+10,1.551567869514071960e+11
1.250000000000000000e+01,1.345399057039311409e+10,1.117296256281413422e+11,1.855155260881341934e+10,1.540626936639013672e+11,2.032963235249951935e+10,1.688288838927106018e+11
1.300000000000000000e+01,1.477078076393635559e+10,1.223959955298832550e+11,2.029281969754785538e+10,1.681535938204448853e+11,2.208273762039479446e+10,1.829854967228645020e+11
1.350000000000000000e+01,1.615724565143932724e+10,1.335954701043868408e+11,2.211648339633946609e+10,1.828691634781591797e+11,2.389944647231906509e+10,1.976115147088616943e+11
1.400000000000000000e+01,1.761410279429967499e+10,1.453312432699018250e+11,2.402254820002553558e+10,1.982063371147517395e+11,2.577817071309355545e+10,2.126917074748801880e+11
1.450000000000000000e+01,1.914204022099240494e+10,1.576062762194923706e+11,2.601097145988221741e+10,2.141617249423474731e+11,2.771729522822511673e+10,2.282107673666975098e+11
1.500000000000000000e+01,2.074171796419083023e+10,1.704233113430236511e+11,2.808166628381703568e+10,2.307316377736960144e+11,2.971518252675254440e+10,2.441533441017014771e+11
1.550000000000000000e+01,2.241376975705747604e+10,1.837848867489696350e+11,3.023450459688482285e+10,2.479121122184295959e+11,3.177017729047587585e+10,2.605040784576763916e+11
1.600000000000000000e+01,2.415880443171768188e+10,1.976933485378240051e+11,3.246931974310316467e+10,2.656989323665366211e+11,3.388061027911598587e+10,2.772476310040327759e+11
1.650000000000000000e+01,2.597740723344103241e+10,2.121508622242994385e+11,3.478590892544644165e+10,2.840876499133150635e+11,3.604480192619514465e+10,2.943687081096527100e+11
1.700000000000000000e+01,2.787014100786044693e+10,2.271594230822334900e+11,3.718403543056846619e+10,3.030736024584508057e+11,3.826106558207318115e+10,3.118520850570490112e+11
1.750000000000000000e+01,2.983754734195906067e+10,2.427208659330335999e+11,3.966343075045797729e+10,3.226519307130817871e+11,4.052771053261881256e+10,3.296826271282489624e+11
1.800000000000000000e+01,3.188014757908633041e+10,2.588368739261936646e+11,4.222379649749102020e+10,3.428175940401203003e+11,4.284304469634122467e+10,3.478453081552193604e+11
1.850000000000000000e+01,3.399844372346520233e+10,2.755089864396006470e+11,4.486480613803338623e+10,3.635653845345753174e+11,4.520537703813902283e+10,3.663252268456563110e+11
1.900000000000000000e+01,3.619291936212566376e+10,2.927386068799178467e+11,4.758610671695957184e+10,3.848899407031333618e+11,4.761301988337677002e+10,3.851076220336962891e+11
1.950000000000000000e+01,3.846404044046149445e+10,3.105270094347970581e+11,5.038732035830751038e+10,4.067857595074474487e+11,5.006429092142132568e+10,4.041778856635401001e+11
2.000000000000000000e+01,4.081225603236246490e+10,3.288753456261257935e+11,5.326804573133135986e+10,4.292472079178467407e+11,5.255751509827790833e+10,4.235215747321167603e+11
2.050000000000000000e+01,4.323799908055296326e+10,3.477846505304915771e+11,5.622785945077230072e+10,4.522685338128823853e+11,5.509102637122627258e+10,4.431244220665264282e+11
2.100000000000000000e+01,4.574168699745688629e+10,3.672558480554799805e+11,5.926631727055361938e+10,4.758438754463172607e+11,5.766316919333129120e+10,4.629723452228794556e+11
2.150000000000000000e+01,4.832372234451001740e+10,3.872897565338189087e+11,6.238295535715579987e+10,4.999672711445786133e+11,6.027230001582769012e+10,4.830514551931066284e+11
2.200000000000000000e+01,5.098449332128132629e+10,4.078870931200167236e+11,6.557729129480984497e+10,5.246326672772813110e+11,6.291678847225645447e+10,5.033480630410372314e+11
2.250000000000000000e+01,5.372437444456347656e+10,4.290484791398953247e+11,6.884882531623149109e+10,5.498339272982756348e+11,6.559501872873772430e+10,5.238486872240499878e+11
2.300000000000000000e+01,5.654372690122768402e+10,4.507744435172888184e+11,7.219704109377156067e+10,5.755648381559565430e+11,6.830539036176963043e+10,5.445400580570746460e+11
2.350000000000000000e+01,5.944289916321076965e+10,4.730654275552263184e+11,7.562140685041975403e+10,6.018191183071032715e+11,7.104631949868949890e+10,5.654091234277099609e+11
2.400000000000000000e+01,6.242222735406240845e+10,4.959217882654926147e+11,7.912137613512899780e+10,6.285904237347955322e+11,7.381623959544976807e+10,5.864430523373040771e+11
2.450000000000000000e+01,6.548203572268115234e+10,5.193438021931185303e+11,8.269638871988452148e+10,6.558723544776574707e+11,7.661360229196217346e+10,6.076292386896169434e+11
2.500000000000000000e+01,6.862263706459907532e+10,5.433316688835526123e+11,8.634587141434519958e+10,6.836584605834530029e+11,7.943687815251440430e+10,6.289553043097882080e+11
2.550000000000000000e+01,7.184433303568260193e+10,5.678855136968095703e+11,9.006923873082167053e+10,7.119422471293488770e+11,8.228455723448562622e+10,6.504091008989127197e+11
2.600000000000000000e+01,7.514741461509498596e+10,5.930053913511053467e+11,9.386589372404196167e+10,7.407171800580570068e+11,8.515514978722599792e+10,6.719787125582952881e+11
2.650000000000000000e+01,7.853216234517196655e+10,6.186912882194934082e+11,9.773522853767427063e+10,7.699766903479102783e+11,8.804718665242247009e+10,6.936524566159283447e+11
2.700000000000000000e+01,8.199884674769294739e+10,6.449431254986596680e+11,1.016766251602434998e+11,7.997141791856737061e+11,9.095921982934544373e+10,7.154188852211905518e+11
2.750000000000000000e+01,8.554772856517890930e+10,6.717607614051192627e+11,1.056894559508601990e+11,8.299230218362742920e+11,9.388982280588958740e+10,7.372667856192331543e+11
2.800000000000000000e+01,8.917905913788648987e+10,6.991439940220820312e+11,1.097730843228690186e+11,8.605965722395522461e+11,9.683759100850421143e+10,7.591851809569003906e+11
2.850000000000000000e+01,9.289308061348594666e+10,7.270925632338907471e+11,1.139268652096278229e+11,8.917281663974057617e+11,9.980114203553713989e+10,7.811633298955700684e+11
2.900000000000000000e+01,9.669002626853192139e+10,7.556061531887237549e+11,1.181501456588742218e+11,9.233111263415197754e+11,1.027791159853436890e+11,8.031907266437270508e+11
2.950000000000000000e+01,1.005701207193704987e+11,7.846843941550689697e+11,1.224422652815631561e+11,9.553387632847125244e+11,1.057701756373528442e+11,8.252571001805096436e+11
