family,mass_msun,status,t_sf_myr,t_quench_myr,quench_lower_bound_myr,max_r_over_R0,wall_seconds
fig2,100000000.0,completed_cycle,5.599836353178653,297.46478892895925,,5.6332392911598,0.8211787715554237
fig2,1000000000.0,numerical_failure,,,,,0.13025441765785217
fig5_f001,100000000.0,completed_cycle,5.599836353178653,297.46478892895925,,5.6332392911598,0.8211787715554237
fig5_f001,146779926.76220676,completed_cycle,6.596757886969649,271.57880570776774,,4.586894786573349,0.7825769372284412
fig5_f001,215443469.00318867,completed_cycle,7.783772452899176,248.5887119923863,,3.7606296884064907,0.7485204301774502
fig5_f001,316227766.01683795,completed_cycle,9.199888271785644,227.98214463045008,,3.1177901218494575,0.6890593692660332
fig5_f001,464158883.3612773,completed_cycle,10.893240092878509,209.35419135643667,,2.6246997091189828,0.6447975151240826
fig5_f001,681292069.0579622,numerical_failure,,,,,0.11836914718151093
fig5_f001,1000000000.0,numerical_failure,,,,,0.1164357028901577
fig5_f001,1467799267.6220675,numerical_failure,,,,,0.13173466175794601
fig5_f001,2154434690.0318866,numerical_failure,,,,,0.12679197639226913
fig5_f001,3162277660.1683793,numerical_failure,,,,,0.139787495136261
fig5_f001,4641588833.612773,numerical_failure,,,,,0.14251526072621346
fig5_f001,6812920690.579622,numerical_failure,,,,,0.17191622406244278
fig5_f001,10000000000.0,numerical_failure,,,,,0.15934503078460693
fig5_f001,14677992676.220675,numerical_failure,,,,,0.16802775859832764
fig5_f001,21544346900.31878,numerical_failure,,,,,0.19476622343063354
fig5_f001,31622776601.683792,not_launched_within_window,,,,1.0,0.2164955511689186
fig5_f001,46415888336.12772,not_launched_within_window,,,,1.0,0.22257016226649284
fig5_f001,68129206905.795944,not_launched_within_window,,,,1.0,0.22924886271357536
fig5_f001,100000000000.0,not_launched_within_window,,,,1.0,0.2181306779384613
fig5_f001,146779926762.20676,not_launched_within_window,,,,1.0,0.22590719908475876
fig5_f001,215443469003.18777,not_launched_within_window,,,,1.0,0.2292528934776783
fig5_f001,316227766016.83795,not_launched_within_window,,,,1.0,0.20557764917612076
fig5_f001,464158883361.2773,not_launched_within_window,,,,1.0,0.2213740050792694
fig5_f001,681292069057.9595,not_launched_within_window,,,,1.0,0.2333294115960598
fig5_f001,1000000000000.0,not_launched_within_window,,,,1.0,0.2095278799533844
fig5_f001,1467799267622.0676,not_launched_within_window,,,,1.0,0.22139299288392067
fig5_f001,2154434690031.878,not_launched_within_window,,,,1.0,0.22814153134822845
fig5_f001,3162277660168.3794,not_launched_within_window,,,,1.0,0.214028999209404
fig5_f001,4641588833612.772,not_launched_within_window,,,,1.0,0.22489503026008606
fig5_f001,6812920690579.595,not_launched_within_window,,,,1.0,0.22686974331736565
fig5_f001,10000000000000.0,not_launched_within_window,,,,1.0,0.22763237729668617
fig5_f01,100000000.0,numerical_failure,,,,,0.1017887033522129
fig5_f01,146779926.76220676,numerical_failure,,,,,0.1089123822748661
fig5_f01,215443469.00318867,numerical_failure,,,,,0.09662392362952232
fig5_f01,316227766.01683795,numerical_failure,,,,,0.10349419340491295
fig5_f01,464158883.3612773,numerical_failure,,,,,0.10163217782974243
fig5_f01,681292069.0579622,numerical_failure,,,,,0.09819044172763824
fig5_f01,1000000000.0,numerical_failure,,,,,0.10973725095391273
fig5_f01,1467799267.6220675,numerical_failure,,,,,0.1061212345957756
fig5_f01,2154434690.0318866,numerical_failure,,,,,0.10982180014252663
fig5_f01,3162277660.1683793,numerical_failure,,,,,0.10513917729258537
fig5_f01,4641588833.612773,numerical_failure,,,,,0.1102261021733284
fig5_f01,6812920690.579622,numerical_failure,,,,,0.11543995887041092
fig5_f01,10000000000.0,numerical_failure,,,,,0.10520321130752563
fig5_f01,14677992676.220675,numerical_failure,,,,,0.12143745645880699
fig5_f01,21544346900.31878,numerical_failure,,,,,0.11045869067311287
fig5_f01,31622776601.683792,numerical_failure,,,,,0.11625650525093079
fig5_f01,46415888336.12772,numerical_failure,,,,,0.13095508888363838
fig5_f01,68129206905.795944,numerical_failure,,,,,0.12655459716916084
fig5_f01,100000000000.0,numerical_failure,,,,,0.14389777183532715
