x,y
7.999999999999998779e-02,1.330307304710208645e-02
8.290677959754123860e-02,1.612332794345278444e-02
8.591917629044100446e-02,1.928240715254232740e-02
8.904102144791589679e-02,2.277158921202200245e-02
9.227630425402882919e-02,2.657387942010853987e-02
9.562914023580532108e-02,3.066425512275875592e-02
9.910379375610280095e-02,3.501045189300866500e-02
1.027047048277174857e-01,3.957367902241361313e-02
1.064364540847762691e-01,4.430984520490224843e-02
1.103037954993795616e-01,4.917085537316349259e-02
1.143116478170833061e-01,5.410589620835281471e-02
1.184651323875335338e-01,5.906286577944239169e-02
1.227695242106520007e-01,6.398968076735239707e-02
1.272303235628441109e-01,6.883554768401588253e-02
1.327977455671604523e-01,7.447568771781119812e-02
1.386087902150900109e-01,7.985246242064901467e-02
1.446741180946814753e-01,8.489731035055532449e-02
1.510048562864895472e-01,8.955180055285855145e-02
1.576125968236791464e-01,9.376838380791369110e-02
1.645095048495410495e-01,9.751064822656778375e-02
1.717082119782400162e-01,1.007532476300230517e-01
1.805057946555437276e-01,1.038854955516789885e-01
1.897541272420818770e-01,1.063111489233202617e-01
1.994762764206985117e-01,1.080391765069272647e-01
2.096965740625734709e-01,1.090925557473581692e-01
2.220196580509965767e-01,1.095139957877378362e-01
2.350669236321070721e-01,1.091629122643959643e-01
2.506637711432098126e-01,1.079367855014187472e-01
2.672955171422913834e-01,1.059409541444831931e-01
2.870726332374140544e-01,1.029636188097611399e-01
3.083130522910812465e-01,9.933976255552023904e-02
3.334970371000141043e-01,9.478530534982362865e-02
3.607381796496933468e-01,8.981124779628259225e-02
3.929996741423039675e-01,8.409239300267654094e-02
4.312134945959886223e-01,7.774717975061248842e-02
4.765324813494611900e-01,7.093583565098927901e-02
5.303867730930937885e-01,6.384634773489722415e-02
5.988151290629658563e-01,5.624555540120738245e-02
6.857929055264044838e-01,4.844250217916944157e-02
7.966970983396232109e-01,4.076014941873135761e-02
9.455696367793525736e-01,3.320480259082317365e-02
1.154765304863149433e+00,2.593695983321062798e-02
1.461484169920133747e+00,1.923367675343990932e-02
1.944439638511747726e+00,1.328220866177449826e-02
2.818350206914940426e+00,8.142543450466423194e-03
4.711895872439772148e+00,4.101772779037631336e-03
1.086167542112854889e+01,1.334646145519981361e-03
8.188411700553039907e+01,8.743925123805236293e-05
9.999999999999994316e+01,6.676267851243601050e-05
