x,y
2.983974115955241757e+00,1.077157584353887904e-05
3.092396054453366627e+00,1.507467066542303499e-05
3.204757476435891483e+00,2.065158363543337405e-05
3.321201522030535092e+00,2.772739594621093849e-05
3.441876532325053084e+00,3.652596812510397592e-05
3.566936238342782062e+00,4.725953191592779695e-05
3.696539956884596911e+00,6.011811889139450775e-05
3.830852793486700492e+00,7.525907845424594021e-05
3.970045852752836613e+00,9.279745302374027885e-05
4.114295310215402068e+00,1.127982427568200574e-04
4.263787181040322061e+00,1.352703354957916543e-04
4.418710800866648469e+00,1.601627010079187754e-04
4.579263530909075008e+00,1.873645453136964917e-04
4.745649903451715446e+00,2.167059108576871332e-04
4.918081882407053129e+00,2.479622211622221168e-04
5.096779133342276502e+00,2.808607564990759655e-04
5.281969303316942366e+00,3.150884162840029176e-04
5.473888310888453290e+00,3.502998565736907088e-04
5.672780646654828729e+00,3.861291356692583008e-04
5.878899684717617369e+00,4.221984077689623529e-04
6.092508005461728438e+00,4.581267979734889874e-04
6.313877730063385485e+00,4.935436528261981978e-04
6.590164238047902856e+00,5.348657481649244727e-04
6.878540659356329634e+00,5.743656592446526495e-04
7.179536031780804350e+00,6.115334018981051153e-04
7.493702543071449895e+00,6.459293058499558779e-04
7.821616543946331213e+00,6.771934919647921254e-04
8.163879605429331221e+00,7.050459724757724995e-04
8.521119622455660902e+00,7.292899535828950910e-04
8.957704766043597999e+00,7.528559324451300884e-04
9.416653388975758432e+00,7.712783421290225110e-04
9.899121791497623946e+00,7.846087810875025182e-04
1.040630977854879013e+01,7.929979483343407810e-04
1.101784971421001558e+01,7.968420652706007445e-04
1.166532756646867597e+01,7.949970663060191385e-04
1.235085527237751180e+01,7.879949979378199224e-04
1.317034460992618605e+01,7.746738676322035243e-04
1.404420773451596638e+01,7.564130512134117088e-04
1.508333450251815755e+01,7.313602898091999850e-04
1.631539122146395826e+01,6.992936397996556662e-04
1.764808641384852805e+01,6.638222623397995164e-04
1.922639068214462554e+01,6.226525715619140233e-04
2.109589310120726324e+01,5.766275598607490359e-04
2.331299556202429457e+01,5.269179095153346927e-04
2.594764907381521013e+01,4.749168013371085173e-04
2.929531795591314136e+01,4.189296001604837696e-04
3.331182512855569655e+01,3.641375526075626284e-04
3.869890488287565944e+01,3.068210761416193585e-04
4.560358094695808973e+01,2.524296614241817332e-04
5.529670637641802244e+01,1.992107732285967501e-04
6.948633395918997735e+01,1.492827756828718955e-04
9.179094873089277939e+01,1.041871770822889472e-04
9.999999999999994316e+01,9.315296243217141233e-05
