x,y
0.000000000000000000e+00,1.000000346195234702e+00
1.991327596703089498e+01,1.043387591483260435e+00
2.101401097990208555e+01,1.054632424402422552e+00
2.211474599277326902e+01,1.073049355931835480e+00
2.321547707472875643e+01,1.099168439045919543e+00
2.431621208759994346e+01,1.132808492000691336e+00
2.551701249039916775e+01,1.177187418217223724e+00
2.691794760397015907e+01,1.237146046950997835e+00
2.881921359809702921e+01,1.327984598241833458e+00
3.582388523503628619e+01,1.671782739847099686e+00
3.782522055000688965e+01,1.757103921540557723e+00
3.972648654413375624e+01,1.830085469989504610e+00
4.162775253826062993e+01,1.894984192444878479e+00
4.352901853238749652e+01,1.952010182631085611e+00
4.553035777827379604e+01,2.004092224164970126e+00
4.763175455225673716e+01,2.050925777519410076e+00
4.993328996792715202e+01,2.094386266491174098e+00
5.253502155338166801e+01,2.135811352041162792e+00
5.583722659199521843e+01,2.180675999528800091e+00
6.434289480151781504e+01,2.285621669800669054e+00
7.034689681551392937e+01,2.356064746368482510e+00
7.344897107427141236e+01,2.385233079684505597e+00
7.595063726979789465e+01,2.401638701109162888e+00
7.815209943370886947e+01,2.409035349434031748e+00
8.025350406952320270e+01,2.408908136720170567e+00
8.225483545357811010e+01,2.401529799316236335e+00
8.405603605777695009e+01,2.388039469250892388e+00
8.575717127204774215e+01,2.368408234543716073e+00
8.735824109639048629e+01,2.342798966017756612e+00
8.885923766897383302e+01,2.311436213387631611e+00
9.026017671346050975e+01,2.274666920418417337e+00
9.156104250618777485e+01,2.232990300638748593e+00
9.276184290898699203e+01,2.187091567984650542e+00
9.396264331178622342e+01,2.133003998742094787e+00
9.506337832465739268e+01,2.075207986143956962e+00
9.616411333752859036e+01,2.008449259614707216e+00
9.726484835039977384e+01,1.931488458926882812e+00
9.836557550143956519e+01,1.842881912524698018e+00
9.936624512438271495e+01,1.750803037273718221e+00
1.003669147473258647e+02,1.646203347034243869e+00
1.013675765084376224e+02,1.527300900079540558e+00
1.023682461313807721e+02,1.391930189075931024e+00
1.032688503643958882e+02,1.253787782882441970e+00
1.035690465341799893e+02,1.212810833029009050e+00
1.036691119241080372e+02,1.000000346195234702e+00
