x,y
1.101123618633374690e+01,1.071164785181200790e+10
1.202247237266749380e+01,1.312201995417769814e+10
1.303370855900124248e+01,1.581328189260444450e+10
1.404494474533498938e+01,1.879256726322504807e+10
1.505618093166873628e+01,2.206663643431021500e+10
1.606741711800248495e+01,2.564189680145695496e+10
1.707865330433623186e+01,2.952450919422313309e+10
1.808988949066997876e+01,3.372030988973099518e+10
1.910112567700372921e+01,3.823497999887040710e+10
2.011236186333747256e+01,4.307394197466918182e+10
2.112359804967122301e+01,4.824237103291290283e+10
2.213483423600496991e+01,5.374535088655647278e+10
2.314607042233871681e+01,5.958778453850378418e+10
2.415730660867246371e+01,6.577437632595962524e+10
2.516854279500621061e+01,7.230971818061134338e+10
2.617977898133995751e+01,7.919835860992286682e+10
2.719101516767370796e+01,8.644453592629908752e+10
2.820225135400745486e+01,9.405248562996723938e+10
2.921348754034120176e+01,1.020263511525084686e+11
3.022472372667494511e+01,1.103702130923861237e+11
3.123595991300869201e+01,1.190878594537848663e+11
3.224719609934244602e+01,1.281832342018135071e+11
3.325843228567619292e+01,1.376599871416889648e+11
3.426966847200993982e+01,1.475219631129944153e+11
3.528090465834368672e+01,1.577724640982794495e+11
3.629214084467743362e+01,1.684154534417709351e+11
3.730337703101118052e+01,1.794539100884387817e+11
3.831461321734492742e+01,1.908914920393037109e+11
3.932584940367867432e+01,2.027314689034254456e+11
4.033707529816066284e+01,2.149770578275243225e+11
4.134831148449440974e+01,2.276314951935508728e+11
4.235954767082815664e+01,2.406979219907898254e+11
4.337078385716191065e+01,2.541794824854994507e+11
4.438202004349565044e+01,2.680792192392257996e+11
4.539325622982940445e+01,2.824002123515994873e+11
4.640449241616314424e+01,2.971449333039225464e+11
4.741572860249689825e+01,3.123170719129480591e+11
4.842696478883064515e+01,3.279189791460259399e+11
4.943820097516439205e+01,3.439535166185950317e+11
5.044943716149813895e+01,3.604234416889161987e+11
5.146067334783188585e+01,3.773316708741807861e+11
5.247190953416563275e+01,3.946805043422342529e+11
5.348314572049937965e+01,4.124733757815381470e+11
5.449438190683312655e+01,4.307121991692552490e+11
5.550561809316686634e+01,4.493769408762988892e+11
5.651685427950062035e+01,4.683267988894551392e+11
5.752809046583436725e+01,4.875361151050286865e+11
5.853932665216811415e+01,5.070014995592147217e+11
5.955056283850186816e+01,5.267185283366408081e+11
6.056179902483560795e+01,5.466854195853778687e+11
6.157303521116935485e+01,5.668979256306029053e+11
6.258427139750310175e+01,5.873536387496151123e+11
6.359550758383685576e+01,6.080498274192565918e+11
6.460674377017059555e+01,6.289837733777613525e+11
6.561797995650434245e+01,6.501519791906489258e+11
6.662921614283808935e+01,6.715530603220308838e+11
6.764045232917183625e+01,6.931833508719310303e+11
6.865167822365383188e+01,7.150411291079339600e+11
6.966291440998757878e+01,7.371240139935783691e+11
7.067415059632132568e+01,7.594301745970904541e+11
7.168538678265508679e+01,7.819568191372843018e+11
7.269662296898881948e+01,8.047014715455861816e+11
7.370785915532256638e+01,8.276627136215593262e+11
7.471909534165631328e+01,8.508378281516557617e+11
7.573033152799006018e+01,8.742258425821063232e+11
7.674156771432382129e+01,8.978234393358919678e+11
7.775280390065755398e+01,9.216306748182330322e+11
7.876404008699130088e+01,9.456441951266588135e+11
7.977527627332504778e+01,9.698631483057719727e+11
8.078651245965880889e+01,9.942847429856743164e+11
8.179774864599255579e+01,1.018908770438800903e+12
8.280898483232628848e+01,1.043731939662182495e+12
8.382022101866003538e+01,1.068753521019110352e+12
8.483145720499379649e+01,1.093972505208713623e+12
8.584269339132754340e+01,1.119386455781930420e+12
8.685392957766129030e+01,1.144994554210963623e+12
8.786516576399502299e+01,1.170794419962623047e+12
8.887640195032878410e+01,1.196785296269805664e+12
8.988763813666253100e+01,1.222965880128680420e+12
9.089887432299627790e+01,1.249335407502846436e+12
9.191011050933002480e+01,1.275890048504649170e+12
9.292134669566377170e+01,1.302631194232183105e+12
9.393258288199751860e+01,1.329557162311886475e+12
9.494381906833126550e+01,1.356665407758260986e+12
9.595505525466501240e+01,1.383956348047808105e+12
9.696629144099875930e+01,1.411426950300774414e+12
9.797752762733250620e+01,1.439077178750541992e+12
9.898876381366625310e+01,1.466904710656420654e+12
1.000000000000000000e+02,1.494910356727910889e+12
