x,y
1.000000000000000000e+01,1.128880433156308937e+10
1.101123618633374690e+01,1.413446497244963837e+10
1.202247237266749380e+01,1.732876226175932693e+10
1.303370855900124248e+01,2.087471143826715469e+10
1.404494474533498938e+01,2.477438378088617325e+10
1.505618093166873628e+01,2.902888042513130569e+10
1.606741711800248495e+01,3.363867350929590988e+10
1.707865330433623186e+01,3.860350824393865967e+10
1.808988949066997876e+01,4.392255987567054749e+10
1.910112567700372921e+01,4.959309595409767914e+10
2.011236186333747256e+01,5.561614862200048828e+10
2.112359804967122301e+01,6.198803922907424927e+10
2.213483423600496991e+01,6.870630784518388367e+10
2.314607042233871681e+01,7.576797049234094238e+10
2.415730660867246371e+01,8.316987612858888245e+10
2.516854279500621061e+01,9.090851144875683594e+10
2.617977898133995751e+01,9.898024305682708740e+10
2.719101516767370796e+01,1.073810497978200226e+11
2.820225135400745486e+01,1.161051396594383850e+11
2.921348754034120176e+01,1.251516050784017639e+11
3.022472372667494511e+01,1.345143523395104828e+11
3.123595991300869201e+01,1.441888313428467712e+11
3.224719609934244602e+01,1.541701668886897888e+11
3.325843228567619292e+01,1.644536584985055237e+11
3.426966847200993982e+01,1.750342210782440186e+11
3.528090465834368672e+01,1.859068689298251953e+11
3.629214084467743362e+01,1.970666958366910400e+11
3.730337703101118052e+01,2.085061003791544189e+11
3.831461321734492742e+01,2.202242489335786438e+11
3.932584940367867432e+01,2.322136555716658020e+11
4.033707529816066284e+01,2.444689298906686707e+11
4.134831148449440974e+01,2.569848186531377258e+11
4.235954767082815664e+01,2.697558338256970215e+11
4.337078385716191065e+01,2.827768532595348511e+11
4.438202004349565044e+01,2.960419547916285400e+11
4.539325622982940445e+01,3.095458599603621826e+11
4.640449241616314424e+01,3.232809127243658447e+11
4.741572860249689825e+01,3.372460417308867798e+11
4.842696478883064515e+01,3.514337823550320435e+11
4.943820097516439205e+01,3.658381046281016235e+11
5.044943716149813895e+01,3.804543074630827026e+11
5.146067334783188585e+01,3.952762091333970947e+11
5.247190953416563275e+01,4.102988773804560547e+11
5.348314572049937965e+01,4.255167856560112305e+11
5.449438190683312655e+01,4.409244572361232300e+11
5.550561809316686634e+01,4.546140880068352661e+11
5.651685427950062035e+01,4.703560508782935181e+11
5.752809046583436725e+01,4.860290273163659058e+11
5.853932665216811415e+01,5.016261674289378662e+11
5.955056283850186816e+01,5.171411176896490479e+11
6.056179902483560795e+01,5.325676752380021973e+11
6.157303521116935485e+01,5.479004698911589966e+11
6.258427139750310175e+01,5.631336758248879395e+11
6.359550758383685576e+01,5.782622831650079346e+11
6.460674377017059555e+01,5.915455259811125488e+11
6.561797995650434245e+01,6.064742549414582520e+11
6.662921614283808935e+01,6.212848225353598633e+11
6.764045232917183625e+01,6.359733866932429199e+11
6.865167822365383188e+01,6.505360567038004150e+11
6.966291440998757878e+01,6.649693402379948730e+11
7.067415059632132568e+01,6.792700266983745117e+11
7.168538678265508679e+01,6.934357257323662109e+11
7.269662296898881948e+01,7.074628014423658447e+11
7.370785915532256638e+01,7.198180702062012939e+11
7.471909534165631328e+01,7.335807584718369141e+11
7.573033152799006018e+01,7.471977783135272217e+11
7.674156771432382129e+01,7.606672589861346436e+11
7.775280390065755398e+01,7.739861841260957031e+11
7.876404008699130088e+01,7.871531913305637207e+11
7.977527627332504778e+01,8.001663619190679932e+11
8.078651245965880889e+01,8.130246401559228516e+11
8.179774864599255579e+01,8.257270508337930908e+11
8.280898483232628848e+01,8.369212432650599365e+11
8.382022101866003538e+01,8.493244636094929199e+11
8.483145720499379649e+01,8.615675895869686279e+11
8.584269339132754340e+01,8.736500672068581543e+11
8.685392957766129030e+01,8.855703304462830811e+11
8.786516576399502299e+01,8.973273873546422119e+11
8.887640195032878410e+01,9.089225414259639893e+11
8.988763813666253100e+01,9.203525173219833984e+11
9.089887432299627790e+01,9.316188477465640869e+11
9.191011050933002480e+01,9.415287109234376221e+11
9.292134669566377170e+01,9.524816491284283447e+11
9.393258288199751860e+01,9.632688433451915283e+11
9.494381906833126550e+01,9.738910473507965088e+11
9.595505525466501240e+01,9.843466767967082520e+11
9.696629144099875930e+01,9.946382572437644043e+11
9.797752762733250620e+01,1.004763089782171631e+12
9.898876381366625310e+01,1.014723540331452515e+12
1.000000000000000000e+02,1.024518531392041626e+12
