x,y
1.000000000000000000e+01,1.097932493211462402e+11
1.101123618633374690e+01,1.351302458057708282e+11
1.202247237266749380e+01,1.628749013435805359e+11
1.303370855900124248e+01,1.929215040401592102e+11
1.404494474533498938e+01,2.251589693839890747e+11
1.505618093166873628e+01,2.594728378004646912e+11
1.606741711800248495e+01,2.957463138153161011e+11
1.707865330433623186e+01,3.338615938721166382e+11
1.808988949066997876e+01,3.737004257842620850e+11
1.910112567700372921e+01,4.151321481248434448e+11
2.011236186333747256e+01,4.580652702383815918e+11
2.112359804967122301e+01,5.023718594177210083e+11
2.213483423600496991e+01,5.479389057263417969e+11
2.314607042233871681e+01,5.946557901641422119e+11
2.415730660867246371e+01,6.424131180587205811e+11
2.516854279500621061e+01,6.911054150355594482e+11
2.617977898133995751e+01,7.406296191930111084e+11
2.719101002174782522e+01,7.908854787311152344e+11
2.820224620808157212e+01,8.417628113664637451e+11
2.921348239441532257e+01,8.931943864722955322e+11
3.022471858074906947e+01,9.450769263575429688e+11
3.123595991300869201e+01,9.973224584521206055e+11
3.224719609934244602e+01,1.049847525747384521e+12
3.325843228567619292e+01,1.102569961294517334e+12
3.426966847200993982e+01,1.155413788569545166e+12
3.528090465834368672e+01,1.208303342187033691e+12
3.629214084467743362e+01,1.261170295479170898e+12
3.730337703101118052e+01,1.313929261415590820e+12
3.831460292549316904e+01,1.366543394803095703e+12
3.932583911182691594e+01,1.418938155224867432e+12
4.033707529816066284e+01,1.471055831221429688e+12
4.134831148449440974e+01,1.522838475169581543e+12
4.235954767082815664e+01,1.574233762233009521e+12
4.337078385716191065e+01,1.625191455582263916e+12
4.438202004349565044e+01,1.675663989052236084e+12
4.539325622982940445e+01,1.725605649980520020e+12
4.640449241616314424e+01,1.774961623275616455e+12
4.741572860249689825e+01,1.823719305096594482e+12
4.842696478883064515e+01,1.871826178954212891e+12
4.943820097516439205e+01,1.919250688539304199e+12
5.044943716149813895e+01,1.965956258989768066e+12
5.146067334783188585e+01,2.011917039290363281e+12
5.247190953416563275e+01,2.057098936358743408e+12
5.348314572049937965e+01,2.101479895015130615e+12
5.449438190683312655e+01,2.145034322658480713e+12
5.550561809316686634e+01,2.178809875297587158e+12
5.651685427950062035e+01,2.220689040013203613e+12
5.752809046583436725e+01,2.260628497644817383e+12
5.853932665216811415e+01,2.298645973258118652e+12
5.955056283850186816e+01,2.334765031863927734e+12
6.056179902483560795e+01,2.369011532467745605e+12
6.157303521116935485e+01,2.401414492404321777e+12
6.258427139750310175e+01,2.432000286890472168e+12
6.359550758383685576e+01,2.460800576369816406e+12
6.460674377017059555e+01,2.480680644963712402e+12
6.561797995650434245e+01,2.506203338008339844e+12
6.662921614283808935e+01,2.530035605181102539e+12
6.764045232917183625e+01,2.552211527686876953e+12
6.865168851550558315e+01,2.572761788845517578e+12
6.966292470183933006e+01,2.591725201398115723e+12
7.067416088817307696e+01,2.609138548044423828e+12
7.168539707450682386e+01,2.625035983449025879e+12
7.269663326084057076e+01,2.639456000653092285e+12
7.370786944717431766e+01,2.646875082859310059e+12
7.471910563350807877e+01,2.658600998642552246e+12
7.573034181984181146e+01,2.668951534020856445e+12
7.674157800617557257e+01,2.677966096413653809e+12
7.775281419250931947e+01,2.685684360541072754e+12
7.876405037884306637e+01,2.692133237373659180e+12
7.977528656517681327e+01,2.697359739181775391e+12
8.078652275151056017e+01,2.701392544290256348e+12
8.179774864599255579e+01,2.704269852173614258e+12
8.280898483232628848e+01,2.701715224162216797e+12
8.382022101866003538e+01,2.702501597606150391e+12
8.483145720499379649e+01,2.702232616768388184e+12
8.584269339132754340e+01,2.700941881362836426e+12
8.685392957766129030e+01,2.698664111969198242e+12
8.786516576399502299e+01,2.695432468497404297e+12
8.887640195032878410e+01,2.691275894855806152e+12
8.988763813666253100e+01,2.686229240070697266e+12
9.089887432299627790e+01,2.680325486391710449e+12
9.191011050933002480e+01,2.670242169341520996e+12
9.292134669566377170e+01,2.662803025674844238e+12
9.393258288199751860e+01,2.654589295715376465e+12
9.494381906833126550e+01,2.645638376528572266e+12
9.595505525466501240e+01,2.635970397175766113e+12
9.696629144099875930e+01,2.625620826312810547e+12
9.797752762733250620e+01,2.614612850461187988e+12
9.898876381366625310e+01,2.602974842201692871e+12
1.000000000000000000e+02,2.590735284491022949e+12
