x,y
8.758827465826162338e+09,1.977318401936094574e+02
1.122948085820135880e+10,1.836224153614937507e+02
1.439704581882832336e+10,1.671114169181597333e+02
1.845809611048294830e+10,1.502001457792627832e+02
2.366468903722049332e+10,1.419946806445411482e+02
3.033989872960119629e+10,1.315877469653029834e+02
3.889805037867454529e+10,1.256837872679089259e+02
4.987024962564196014e+10,1.176784584809687573e+02
6.393744091316532898e+10,1.119746664124358517e+02
8.197264664226922607e+10,1.074716611495120873e+02
1.050951477189126587e+11,1.033689285821512698e+02
1.347399471223694000e+11,9.936626418868118549e+01
1.727468274662484741e+11,9.526353162132036800e+01
2.214745295435824585e+11,9.196131316400575884e+01
2.839468875745511475e+11,8.885926233555228748e+01
3.640414371906477661e+11,8.505670300878401235e+01
4.667287221348313599e+11,8.125417496309539445e+01
5.983816066288399658e+11,7.745164691740679075e+01
7.671705857611074219e+11,7.364911887171818705e+01
9.835708536778359375e+11,6.974649137105915031e+01
1.261012403447112305e+12,6.574382697758906602e+01
1.616713504371812256e+12,6.144095806244678215e+01
2.072749283094421143e+12,5.693795279952302479e+01
2.657421725587550293e+12,5.153436525266230461e+01
3.407013120238257324e+12,4.122749974731490141e+01
4.368049121486796875e+12,3.372248054874873446e+01
5.600170135648698242e+12,2.791862030632508151e+01
7.179842688567704102e+12,1.010675124295134353e+01
9.205102663654699219e+12,7.204805481199677786e+00
