x,y
3.928284185071254730e+09,1.804202807186097175e+02
4.641588833612772942e+09,1.715143383666529360e+02
5.484416576121026039e+09,1.617077980902193417e+02
6.480286440412508011e+09,1.515010007587626717e+02
7.656988080124188423e+09,1.412942034273060017e+02
9.047357242349311829e+09,1.367911668833025658e+02
1.069019204603001213e+10,1.267845371807070336e+02
1.263133563976836777e+10,1.212808501788759088e+02
1.492495545051832199e+10,1.154769899364522416e+02
1.763505472047138596e+10,1.097731978679193219e+02
2.083725851142957687e+10,1.064709794106047269e+02
2.462092401494620514e+10,1.028685877126975896e+02
2.909163405623883438e+10,9.936623290760149985e+01
3.437414337286239624e+10,9.716476436308499842e+01
4.061585988376988220e+10,9.476315947078700219e+01
4.799095809323877716e+10,9.266175910016121975e+01
5.670523941381169128e+10,9.116076777287987909e+01
6.700187503509576416e+10,8.935957192392629622e+01
7.916819159263017273e+10,8.775851242275420816e+01
9.354368899026162720e+10,8.625748981439316765e+01
1.105295141126024323e+11,8.425615761765811840e+01
1.305996547906054840e+11,8.245496176870454974e+01
1.543141663868093262e+11,8.055369774586024789e+01
1.823348000868438721e+11,7.865243372301593183e+01
2.154434690031877747e+11,7.655103335239016360e+01
2.545640673860415039e+11,7.464976932954586175e+01
3.007882518043095703e+11,7.284857348059229309e+01
3.554059037181068115e+11,7.114741452444977199e+01
4.199411234979421387e+11,6.934621867549620333e+01
4.961947603002897949e+11,6.764509100043338208e+01
5.862946645916390381e+11,6.594396332537054661e+01
6.927550656129393311e+11,6.434287254311877291e+01
8.185467307069020996e+11,5.493662060278797554e+01
9.671798642975462646e+11,4.793194227367549587e+01
1.142802059810033203e+12,4.432955057576835145e+01
1.350314037869872070e+12,4.092729522564269473e+01
1.595506400444825684e+12,3.852565905226502707e+01
1.885221217040872314e+12,3.602401726715598329e+01
2.227542951999556152e+12,3.332220785318578749e+01
2.632024060704882812e+12,2.761841578465287483e+01
3.109951549940201660e+12,1.080718153856697761e+01
3.674661940736687988e+12,8.105403405676462114e+00
4.341913422721444336e+12,7.204789840659839406e+00
5.130325584896987305e+12,6.604380797315423379e+00
6.061898993497572266e+12,6.404244449533950778e+00
