x,y
1.000000000000000000e+08,1.754367866979578139e-06
1.181582865970879793e+08,1.754367866979578139e-06
1.396135920287618339e+08,1.754367866979578139e-06
1.649647742916225195e+08,1.754367866979578139e-06
1.949195507917354703e+08,1.754367866979578139e-06
2.303132469706736207e+08,1.754367866979578139e-06
2.721341864266676307e+08,1.754367866979578139e-06
3.215485970138309002e+08,1.754367866979578139e-06
3.799357280288804770e+08,1.754367866979578139e-06
4.489255464090973139e+08,1.754367866979578139e-06
5.304419173017450571e+08,1.754367866979578139e-06
6.267610808764843941e+08,1.754367866979578139e-06
7.405690143712005615e+08,1.754367866979578139e-06
8.750423116249823570e+08,1.754367866979578139e-06
1.033935002415630460e+09,1.754367866979578139e-06
1.221678003031149626e+09,1.754367866979578139e-06
1.443511574328348398e+09,1.754367866979578139e-06
1.705628543057026625e+09,1.754367866979578139e-06
2.015338360270737171e+09,1.754367866979578139e-06
2.381289275629751205e+09,1.754367866979578139e-06
2.813686276307525158e+09,1.754367866979578139e-06
3.324598377233108044e+09,1.754367866979578139e-06
3.928288478773231983e+09,1.754367866979578139e-06
4.641591214985067368e+09,1.754367866979578139e-06
5.484424650467314720e+09,1.754367866979578139e-06
6.480292222532100677e+09,1.754367866979578139e-06
7.656990471339927673e+09,1.754367866979578139e-06
9.047368745837549210e+09,1.754367866979578139e-06
1.069019943833764839e+10,1.754367866979578139e-06
1.263135649015134048e+10,1.754367866979578139e-06
1.492497143090171242e+10,1.754367866979578139e-06
1.763506337477807236e+10,1.754367866979578139e-06
2.083728872394837189e+10,1.754367866979578139e-06
2.462094543407615662e+10,1.754367866979578139e-06
2.909164249238724136e+10,1.754367866979578139e-06
3.437418631195514679e+10,1.754367866979578139e-06
4.061588706378743744e+10,1.754367866979578139e-06
4.799103624077954865e+10,1.754367866979578139e-06
5.670529886409883881e+10,1.754367866979578139e-06
6.700190642131753540e+10,1.754367866979578139e-06
7.916830461481306458e+10,1.754367866979578139e-06
9.354376828255064392e+10,1.754367866979578139e-06
1.105297138210120850e+11,1.754367866979578139e-06
1.305998150183305511e+11,1.754367866979578139e-06
1.543142662111880493e+11,1.754367866979578139e-06
1.823350929300096436e+11,1.754367866979578139e-06
2.154436900702655334e+11,1.754367866979578139e-06
2.545641809550609436e+11,1.754367866979578139e-06
3.007886745064105835e+11,1.754367866979578139e-06
3.554061970499577637e+11,1.754367866979578139e-06
4.199418728941003418e+11,1.754367866979578139e-06
4.961953579942653809e+11,1.754367866979578139e-06
5.862950307819019775e+11,1.754367866979578139e-06
6.927561627757678223e+11,1.754367866979578139e-06
8.185475523607482910e+11,1.754367866979578139e-06
9.671817628518616943e+11,1.754367866979578139e-06
1.142803640314345947e+12,1.754367866979578139e-06
1.350315122221509033e+12,1.754367866979578139e-06
1.595509212078309570e+12,1.754367866979578139e-06
1.885223445841014160e+12,1.754367866979578139e-06
2.227547722132323242e+12,1.754367866979578139e-06
2.632028170507039062e+12,1.754367866979578139e-06
3.109954602324390137e+12,1.754367866979578139e-06
3.674663416180465820e+12,1.754367866979578139e-06
4.341926013651860352e+12,1.754367866979578139e-06
5.130337486664253906e+12,1.754367866979578139e-06
6.061909540677580078e+12,1.754367866979578139e-06
7.162637423927174805e+12,1.754367866979578139e-06
8.463236629048708984e+12,1.754367866979578139e-06
1.000000000000000000e+13,1.754367866979578139e-06
