logT,logLambdaN,logLambdahd,ne_nH
3.799999999999999822e+00,-2.573310000000000031e+01,-3.061039999999999850e+01,1.326400000000000040e-05
3.839999999999999858e+00,-2.503829999999999956e+01,-2.941069999999999851e+01,4.242800000000000103e-05
3.879999999999999893e+00,-2.440589999999999904e+01,-2.846010000000000062e+01,8.827600000000000659e-05
3.919999999999999929e+00,-2.382880000000000109e+01,-2.757430000000000092e+01,1.796699999999999925e-04
3.959999999999999964e+00,-2.330270000000000152e+01,-2.637659999999999982e+01,8.436200000000000036e-04
4.000000000000000000e+00,-2.282420000000000115e+01,-2.528900000000000148e+01,3.429499999999999823e-03
4.040000000000000036e+00,-2.239170000000000016e+01,-2.426839999999999975e+01,1.328299999999999967e-02
4.080000000000000071e+00,-2.200669999999999860e+01,-2.338340000000000174e+01,4.200799999999999673e-02
4.120000000000000107e+00,-2.168179999999999907e+01,-2.259769999999999968e+01,1.213800000000000018e-01
4.160000000000000142e+00,-2.145289999999999964e+01,-2.196890000000000143e+01,3.048100000000000254e-01
4.200000000000000178e+00,-2.132460000000000022e+01,-2.159720000000000084e+01,5.338600000000000012e-01
4.240000000000000213e+00,-2.134590000000000032e+01,-2.146150000000000091e+01,7.662200000000000122e-01
4.280000000000000249e+00,-2.143049999999999855e+01,-2.147889999999999944e+01,8.945899999999999963e-01
4.320000000000000284e+00,-2.152929999999999922e+01,-2.154970000000000141e+01,9.541399999999999881e-01
4.360000000000000320e+00,-2.161380000000000123e+01,-2.162109999999999843e+01,9.834199999999999608e-01
4.400000000000000355e+00,-2.166150000000000020e+01,-2.165950000000000131e+01,1.004599999999999937e+00
4.440000000000000391e+00,-2.165510000000000090e+01,-2.164260000000000161e+01,1.029099999999999904e+00
4.480000000000000426e+00,-2.159189999999999898e+01,-2.156879999999999953e+01,1.054699999999999971e+00
4.519999999999999574e+00,-2.150919999999999987e+01,-2.147710000000000008e+01,1.076699999999999990e+00
4.559999999999999609e+00,-2.141240000000000165e+01,-2.137549999999999883e+01,1.088799999999999990e+00
4.599999999999999645e+00,-2.130849999999999866e+01,-2.126930000000000121e+01,1.094500000000000028e+00
4.639999999999999680e+00,-2.120469999999999899e+01,-2.116440000000000055e+01,1.097199999999999953e+00
4.679999999999999716e+00,-2.110670000000000002e+01,-2.106579999999999941e+01,1.098799999999999999e+00
4.719999999999999751e+00,-2.101940000000000097e+01,-2.097779999999999845e+01,1.100400000000000045e+00
4.759999999999999787e+00,-2.094129999999999825e+01,-2.089859999999999829e+01,1.103399999999999936e+00
4.799999999999999822e+00,-2.087349999999999994e+01,-2.082809999999999917e+01,1.110200000000000076e+00
4.839999999999999858e+00,-2.082049999999999912e+01,-2.076999999999999957e+01,1.123299999999999965e+00
4.879999999999999893e+00,-2.078049999999999997e+01,-2.072230000000000061e+01,1.143299999999999983e+00
4.919999999999999929e+00,-2.075469999999999970e+01,-2.068880000000000052e+01,1.163799999999999946e+00
4.959999999999999964e+00,-2.074549999999999983e+01,-2.067389999999999972e+01,1.179100000000000037e+00
5.000000000000000000e+00,-2.075649999999999906e+01,-2.068149999999999977e+01,1.188499999999999890e+00
5.040000000000000036e+00,-2.078200000000000003e+01,-2.070510000000000161e+01,1.193699999999999983e+00
5.080000000000000071e+00,-2.080079999999999885e+01,-2.072289999999999921e+01,1.196600000000000108e+00
5.120000000000000107e+00,-2.079939999999999856e+01,-2.072080000000000055e+01,1.198299999999999921e+00
5.160000000000000142e+00,-2.078470000000000084e+01,-2.070579999999999998e+01,1.199300000000000033e+00
5.200000000000000178e+00,-2.076869999999999905e+01,-2.068959999999999866e+01,1.199899999999999967e+00
5.240000000000000213e+00,-2.075900000000000034e+01,-2.067970000000000041e+01,1.200399999999999912e+00
5.280000000000000249e+00,-2.075440000000000040e+01,-2.067490000000000094e+01,1.200800000000000090e+00
5.320000000000000284e+00,-2.075049999999999883e+01,-2.067089999999999961e+01,1.201200000000000045e+00
5.360000000000000320e+00,-2.075450000000000017e+01,-2.067480000000000118e+01,1.201500000000000012e+00
5.400000000000000355e+00,-2.078879999999999839e+01,-2.070889999999999986e+01,1.201999999999999957e+00
5.440000000000000391e+00,-2.088319999999999865e+01,-2.080310000000000059e+01,1.202499999999999902e+00
5.480000000000000426e+00,-2.104500000000000171e+01,-2.096470000000000056e+01,1.203000000000000069e+00
5.519999999999999574e+00,-2.122860000000000014e+01,-2.114819999999999922e+01,1.203500000000000014e+00
5.559999999999999609e+00,-2.137369999999999948e+01,-2.129319999999999879e+01,1.203699999999999992e+00
5.599999999999999645e+00,-2.145730000000000004e+01,-2.137669999999999959e+01,1.203899999999999970e+00
5.639999999999999680e+00,-2.149350000000000094e+01,-2.141290000000000049e+01,1.203999999999999959e+00
5.679999999999999716e+00,-2.150979999999999848e+01,-2.142909999999999826e+01,1.204099999999999948e+00
5.719999999999999751e+00,-2.153450000000000131e+01,-2.145380000000000109e+01,1.204199999999999937e+00
5.759999999999999787e+00,-2.158630000000000138e+01,-2.150550000000000139e+01,1.204399999999999915e+00
