fig2 M=1e+08: completed_cycle; SF=5.599836353178653; quench=297.46478892895925; 0.821s; cached=True
fig2 M=1e+09: numerical_failure; SF=None; quench=None; 0.130s; cached=False
fig5_f001 M=1e+08: completed_cycle; SF=5.599836353178653; quench=297.46478892895925; 0.821s; cached=True
fig5_f001 M=1.47e+08: completed_cycle; SF=6.596757886969649; quench=271.57880570776774; 0.783s; cached=False
fig5_f001 M=2.15e+08: completed_cycle; SF=7.783772452899176; quench=248.5887119923863; 0.749s; cached=False
fig5_f001 M=3.16e+08: completed_cycle; SF=9.199888271785644; quench=227.98214463045008; 0.689s; cached=False
fig5_f001 M=4.64e+08: completed_cycle; SF=10.893240092878509; quench=209.35419135643667; 0.645s; cached=False
fig5_f001 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.118s; cached=False
fig5_f001 M=1e+09: numerical_failure; SF=None; quench=None; 0.116s; cached=False
fig5_f001 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.132s; cached=False
fig5_f001 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.127s; cached=False
fig5_f001 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.140s; cached=False
fig5_f001 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.143s; cached=False
fig5_f001 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.172s; cached=False
fig5_f001 M=1e+10: numerical_failure; SF=None; quench=None; 0.159s; cached=False
fig5_f001 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.168s; cached=False
fig5_f001 M=2.15e+10: numerical_failure; SF=None; quench=None; 0.195s; cached=False
fig5_f001 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.216s; cached=False
fig5_f001 M=4.64e+10: not_launched_within_window; SF=None; quench=None; 0.223s; cached=False
fig5_f001 M=6.81e+10: not_launched_within_window; SF=None; quench=None; 0.229s; cached=False
fig5_f001 M=1e+11: not_launched_within_window; SF=None; quench=None; 0.218s; cached=False
fig5_f001 M=1.47e+11: not_launched_within_window; SF=None; quench=None; 0.226s; cached=False
fig5_f001 M=2.15e+11: not_launched_within_window; SF=None; quench=None; 0.229s; cached=False
fig5_f001 M=3.16e+11: not_launched_within_window; SF=None; quench=None; 0.206s; cached=False
fig5_f001 M=4.64e+11: not_launched_within_window; SF=None; quench=None; 0.221s; cached=False
fig5_f001 M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.233s; cached=False
fig5_f001 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.210s; cached=False
fig5_f001 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.221s; cached=False
fig5_f001 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.228s; cached=False
fig5_f001 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.214s; cached=False
fig5_f001 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.225s; cached=False
fig5_f001 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.227s; cached=False
fig5_f001 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.228s; cached=False
fig5_f01 M=1e+08: numerical_failure; SF=None; quench=None; 0.102s; cached=False
fig5_f01 M=1.47e+08: numerical_failure; SF=None; quench=None; 0.109s; cached=False
fig5_f01 M=2.15e+08: numerical_failure; SF=None; quench=None; 0.097s; cached=False
fig5_f01 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.103s; cached=False
fig5_f01 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.102s; cached=False
fig5_f01 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.098s; cached=False
fig5_f01 M=1e+09: numerical_failure; SF=None; quench=None; 0.110s; cached=False
fig5_f01 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.106s; cached=False
fig5_f01 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.110s; cached=False
fig5_f01 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.105s; cached=False
fig5_f01 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.110s; cached=False
fig5_f01 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.115s; cached=False
fig5_f01 M=1e+10: numerical_failure; SF=None; quench=None; 0.105s; cached=False
fig5_f01 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.121s; cached=False
fig5_f01 M=2.15e+10: numerical_failure; SF=None; quench=None; 0.110s; cached=False
fig5_f01 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.116s; cached=False
fig5_f01 M=4.64e+10: numerical_failure; SF=None; quench=None; 0.131s; cached=False
fig5_f01 M=6.81e+10: numerical_failure; SF=None; quench=None; 0.127s; cached=False
fig5_f01 M=1e+11: numerical_failure; SF=None; quench=None; 0.144s; cached=False
fig5_f01 M=1.47e+11: numerical_failure; SF=None; quench=None; 0.133s; cached=False
fig5_f01 M=2.15e+11: numerical_failure; SF=None; quench=None; 0.139s; cached=False
fig5_f01 M=3.16e+11: numerical_failure; SF=None; quench=None; 0.175s; cached=False
fig5_f01 M=4.64e+11: numerical_failure; SF=None; quench=None; 0.163s; cached=False
fig5_f01 M=6.81e+11: numerical_failure; SF=None; quench=None; 0.178s; cached=False
fig5_f01 M=1e+12: numerical_failure; SF=None; quench=None; 0.202s; cached=False
fig5_f01 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.231s; cached=False
fig5_f01 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.232s; cached=False
fig5_f01 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.227s; cached=False
fig5_f01 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.238s; cached=False
fig5_f01 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.233s; cached=False
fig5_f01 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.220s; cached=False
fig5_f1 M=1e+08: numerical_failure; SF=None; quench=None; 0.059s; cached=False
fig5_f1 M=1.47e+08: numerical_failure; SF=None; quench=None; 0.058s; cached=False
fig5_f1 M=2.15e+08: numerical_failure; SF=None; quench=None; 0.058s; cached=False
fig5_f1 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.063s; cached=False
fig5_f1 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.062s; cached=False
fig5_f1 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.060s; cached=False
fig5_f1 M=1e+09: numerical_failure; SF=None; quench=None; 0.066s; cached=False
fig5_f1 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.069s; cached=False
fig5_f1 M=2.15e+09: numerical_failure; SF=None; quench=None; 0.073s; cached=False
fig5_f1 M=3.16e+09: numerical_failure; SF=None; quench=None; 0.072s; cached=False
fig5_f1 M=4.64e+09: numerical_failure; SF=None; quench=None; 0.076s; cached=False
fig5_f1 M=6.81e+09: numerical_failure; SF=None; quench=None; 0.081s; cached=False
fig5_f1 M=1e+10: numerical_failure; SF=None; quench=None; 0.082s; cached=False
fig5_f1 M=1.47e+10: numerical_failure; SF=None; quench=None; 0.082s; cached=False
fig5_f1 M=2.15e+10: numerical_failure; SF=None; quench=None; 0.091s; cached=False
fig5_f1 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.095s; cached=False
fig5_f1 M=4.64e+10: numerical_failure; SF=None; quench=None; 0.096s; cached=False
fig5_f1 M=6.81e+10: numerical_failure; SF=None; quench=None; 0.104s; cached=False
fig5_f1 M=1e+11: numerical_failure; SF=None; quench=None; 0.113s; cached=False
fig5_f1 M=1.47e+11: numerical_failure; SF=None; quench=None; 0.110s; cached=False
fig5_f1 M=2.15e+11: numerical_failure; SF=None; quench=None; 0.112s; cached=False
fig5_f1 M=3.16e+11: numerical_failure; SF=None; quench=None; 0.107s; cached=False
fig5_f1 M=4.64e+11: numerical_failure; SF=None; quench=None; 0.128s; cached=False
fig5_f1 M=6.81e+11: numerical_failure; SF=None; quench=None; 0.112s; cached=False
fig5_f1 M=1e+12: numerical_failure; SF=None; quench=None; 0.110s; cached=False
fig5_f1 M=1.47e+12: numerical_failure; SF=None; quench=None; 0.118s; cached=False
fig5_f1 M=2.15e+12: numerical_failure; SF=None; quench=None; 0.127s; cached=False
fig5_f1 M=3.16e+12: numerical_failure; SF=None; quench=None; 0.128s; cached=False
fig5_f1 M=4.64e+12: numerical_failure; SF=None; quench=None; 0.143s; cached=False
fig5_f1 M=6.81e+12: numerical_failure; SF=None; quench=None; 0.138s; cached=False
fig5_f1 M=1e+13: numerical_failure; SF=None; quench=None; 0.160s; cached=False
fig5_mc1 M=1e+08: numerical_failure; SF=None; quench=None; 0.273s; cached=False
fig5_mc1 M=1.47e+08: numerical_failure; SF=None; quench=None; 0.258s; cached=False
fig5_mc1 M=2.15e+08: numerical_failure; SF=None; quench=None; 0.270s; cached=False
fig5_mc1 M=3.16e+08: numerical_failure; SF=None; quench=None; 0.096s; cached=False
fig5_mc1 M=4.64e+08: numerical_failure; SF=None; quench=None; 0.097s; cached=False
fig5_mc1 M=6.81e+08: numerical_failure; SF=None; quench=None; 0.103s; cached=False
fig5_mc1 M=1e+09: numerical_failure; SF=None; quench=None; 0.098s; cached=False
fig5_mc1 M=1.47e+09: numerical_failure; SF=None; quench=None; 0.097s; cached=False
