fig5_f001 M=1e+08: completed_cycle; SF=5.598303202918716; quench=297.38695628316606; 0.707s; cached=True
fig5_f001 M=4.22e+08: completed_cycle; SF=10.439852028613874; quench=213.81833769450657; 0.400s; cached=False
fig5_f001 M=1.78e+09: numerical_failure; SF=None; quench=None; 0.096s; cached=False
fig5_f001 M=7.5e+09: numerical_failure; SF=None; quench=None; 0.104s; cached=False
fig5_f001 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.191s; cached=False
fig5_f001 M=1.33e+11: not_launched_within_window; SF=None; quench=None; 0.136s; cached=False
fig5_f001 M=5.62e+11: not_launched_within_window; SF=None; quench=None; 0.133s; cached=False
fig5_f001 M=2.37e+12: not_launched_within_window; SF=None; quench=None; 0.159s; cached=False
fig5_f001 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.130s; cached=False
fig5_f01 M=1e+08: numerical_failure; SF=None; quench=None; 0.060s; cached=False
fig5_f01 M=4.22e+08: numerical_failure; SF=None; quench=None; 0.065s; cached=False
fig5_f01 M=1.78e+09: numerical_failure; SF=None; quench=None; 0.074s; cached=False
fig5_f01 M=7.5e+09: numerical_failure; SF=None; quench=None; 0.080s; cached=False
fig5_f01 M=3.16e+10: completed_cycle; SF=13.256013104738122; quench=1.0004195054591491e-06; 0.070s; cached=False
fig5_f01 M=1.33e+11: numerical_failure; SF=None; quench=None; 0.092s; cached=False
fig5_f01 M=5.62e+11: numerical_failure; SF=None; quench=None; 0.147s; cached=False
fig5_f01 M=2.37e+12: not_launched_within_window; SF=None; quench=None; 0.160s; cached=False
fig5_f01 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.129s; cached=False
fig5_f1 M=1e+08: completed_cycle; SF=0.06007944413916284; quench=0.22362699317551504; 0.045s; cached=False
fig5_f1 M=4.22e+08: completed_cycle; SF=0.08555984713355941; quench=0.17195011400647237; 0.031s; cached=False
fig5_f1 M=1.78e+09: completed_cycle; SF=0.12346858262409352; quench=0.10939940647478963; 0.038s; cached=False
fig5_f1 M=7.5e+09: completed_cycle; SF=0.18172194484963372; quench=0.024574113578837598; 0.025s; cached=False
fig5_f1 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.049s; cached=False
fig5_f1 M=1.33e+11: numerical_failure; SF=None; quench=None; 0.065s; cached=False
fig5_f1 M=5.62e+11: numerical_failure; SF=None; quench=None; 0.080s; cached=False
fig5_f1 M=2.37e+12: completed_cycle; SF=10.963445849722817; quench=1.0002047030610584e-06; 0.073s; cached=False
fig5_f1 M=1e+13: numerical_failure; SF=None; quench=None; 0.095s; cached=False
fig5_mc1 M=1e+08: numerical_failure; SF=None; quench=None; 0.239s; cached=False
fig5_mc1 M=4.22e+08: numerical_failure; SF=None; quench=None; 0.245s; cached=False
fig5_mc1 M=1.78e+09: numerical_failure; SF=None; quench=None; 0.263s; cached=False
fig5_mc1 M=7.5e+09: completed_cycle; SF=3.2928084730372276; quench=1.0046144409692204e-06; 0.062s; cached=False
fig5_mc1 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.081s; cached=False
fig5_mc1 M=1.33e+11: numerical_failure; SF=None; quench=None; 0.090s; cached=False
fig5_mc1 M=5.62e+11: completed_cycle; SF=31.84755797315634; quench=1.000369987735894e-06; 0.099s; cached=False
fig5_mc1 M=2.37e+12: completed_cycle; SF=73.43565370865534; quench=4.855658821156794e-05; 0.132s; cached=False
fig5_mc1 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.137s; cached=False
fig5_mc5 M=1e+08: completed_cycle; SF=0.13806396633531112; quench=0.12321332698627827; 0.035s; cached=False
fig5_mc5 M=4.22e+08: completed_cycle; SF=0.19741732086686906; quench=0.005393653319446329; 0.026s; cached=False
fig5_mc5 M=1.78e+09: completed_cycle; SF=0.38059974661564044; quench=1.0001586054353417e-06; 0.032s; cached=False
fig5_mc5 M=7.5e+09: numerical_failure; SF=None; quench=None; 0.060s; cached=False
fig5_mc5 M=3.16e+10: numerical_failure; SF=None; quench=None; 0.077s; cached=False
fig5_mc5 M=1.33e+11: numerical_failure; SF=None; quench=None; 0.087s; cached=False
fig5_mc5 M=5.62e+11: completed_cycle; SF=15.762682212933274; quench=5.3277376613536376e-05; 0.079s; cached=False
fig5_mc5 M=2.37e+12: numerical_failure; SF=None; quench=None; 0.106s; cached=False
fig5_mc5 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.137s; cached=False
fig8_f001_c1 M=1e+08: completed_cycle; SF=5.598303202918716; quench=297.38695628316606; 0.491s; cached=False
fig8_f001_c1 M=4.22e+08: completed_cycle; SF=10.439852028613874; quench=213.81833769450657; 0.391s; cached=False
fig8_f001_c1 M=1.78e+09: numerical_failure; SF=None; quench=None; 0.095s; cached=False
fig8_f001_c1 M=7.5e+09: numerical_failure; SF=None; quench=None; 0.102s; cached=False
fig8_f001_c1 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.131s; cached=False
fig8_f001_c1 M=1.33e+11: not_launched_within_window; SF=None; quench=None; 0.135s; cached=False
fig8_f001_c1 M=5.62e+11: not_launched_within_window; SF=None; quench=None; 0.126s; cached=False
fig8_f001_c1 M=2.37e+12: not_launched_within_window; SF=None; quench=None; 0.132s; cached=False
