fig2 M=1e+08: completed_cycle; SF=5.961762928451997; quench=315.0674419899378; 0.644s; cached=True
fig2 M=1e+09: completed_cycle; SF=16.008812348809776; quench=182.86038759914953; 0.420s; cached=True
fig5_f001 M=1e+08: completed_cycle; SF=5.961762928451997; quench=315.0674419899378; 0.644s; cached=True
fig5_f001 M=1.47e+08: completed_cycle; SF=6.995321799882109; quench=286.2494358160161; 0.621s; cached=False
fig5_f001 M=2.15e+08: completed_cycle; SF=8.222336279371998; quench=260.74267481929473; 0.573s; cached=False
fig5_f001 M=3.16e+08: completed_cycle; SF=9.682215096734138; quench=238.1360227285912; 0.535s; cached=False
fig5_f001 M=4.64e+08: completed_cycle; SF=11.42360406177327; quench=217.83631038978456; 0.482s; cached=False
fig5_f001 M=6.81e+08: completed_cycle; SF=13.507050004914884; quench=199.51850583883342; 0.449s; cached=False
fig5_f001 M=1e+09: completed_cycle; SF=16.008812348809776; quench=182.86038759914953; 0.420s; cached=True
fig5_f001 M=1.47e+09: completed_cycle; SF=19.026117911937558; quench=148.34596872788123; 0.371s; cached=False
fig5_f001 M=2.15e+09: completed_cycle; SF=22.684935415562055; quench=135.2364421914519; 0.346s; cached=False
fig5_f001 M=3.16e+09: completed_cycle; SF=27.1519000548881; quench=122.16852191948726; 0.329s; cached=False
fig5_f001 M=4.64e+09: completed_cycle; SF=32.65292343901311; quench=96.02213439566381; 0.294s; cached=False
fig5_f001 M=6.81e+09: completed_cycle; SF=39.50455399817613; quench=85.55015562908912; 0.283s; cached=False
fig5_f001 M=1e+10: completed_cycle; SF=48.1697202243464; quench=61.435185682709864; 0.251s; cached=False
fig5_f001 M=1.47e+10: completed_cycle; SF=59.481823151675044; quench=52.01761746862651; 0.247s; cached=False
fig5_f001 M=2.15e+10: completed_cycle; SF=77.07673222160797; quench=28.63230889852383; 0.235s; cached=False
fig5_f001 M=3.16e+10: not_launched_within_window; SF=None; quench=None; 0.208s; cached=False
fig5_f001 M=4.64e+10: not_launched_within_window; SF=None; quench=None; 0.194s; cached=False
fig5_f001 M=6.81e+10: not_launched_within_window; SF=None; quench=None; 0.196s; cached=False
fig5_f001 M=1e+11: not_launched_within_window; SF=None; quench=None; 0.203s; cached=False
fig5_f001 M=1.47e+11: not_launched_within_window; SF=None; quench=None; 0.200s; cached=False
fig5_f001 M=2.15e+11: not_launched_within_window; SF=None; quench=None; 0.195s; cached=False
fig5_f001 M=3.16e+11: not_launched_within_window; SF=None; quench=None; 0.197s; cached=False
fig5_f001 M=4.64e+11: not_launched_within_window; SF=None; quench=None; 0.191s; cached=False
fig5_f001 M=6.81e+11: not_launched_within_window; SF=None; quench=None; 0.196s; cached=False
fig5_f001 M=1e+12: not_launched_within_window; SF=None; quench=None; 0.197s; cached=False
fig5_f001 M=1.47e+12: not_launched_within_window; SF=None; quench=None; 0.192s; cached=False
fig5_f001 M=2.15e+12: not_launched_within_window; SF=None; quench=None; 0.195s; cached=False
fig5_f001 M=3.16e+12: not_launched_within_window; SF=None; quench=None; 0.203s; cached=False
fig5_f001 M=4.64e+12: not_launched_within_window; SF=None; quench=None; 0.194s; cached=False
fig5_f001 M=6.81e+12: not_launched_within_window; SF=None; quench=None; 0.195s; cached=False
fig5_f001 M=1e+13: not_launched_within_window; SF=None; quench=None; 0.196s; cached=False
fig5_f01 M=1e+08: completed_cycle; SF=1.5292939288428467; quench=459.3665547122556; 0.906s; cached=False
fig5_f01 M=1.47e+08: completed_cycle; SF=1.7642314051684493; quench=531.3151587946967; 1.047s; cached=False
fig5_f01 M=2.15e+08: completed_cycle; SF=2.0397234224392276; quench=483.69033274556614; 1.099s; cached=False
fig5_f01 M=3.16e+08: completed_cycle; SF=2.3630712918621564; quench=437.96062588403765; 0.859s; cached=False
fig5_f01 M=4.64e+08: completed_cycle; SF=2.742933832008935; quench=394.86787668544457; 0.778s; cached=False
fig5_f01 M=6.81e+08: completed_cycle; SF=3.189611931124639; quench=416.5002409724601; 0.930s; cached=False
fig5_f01 M=1e+09: completed_cycle; SF=3.7154051927749676; quench=376.40642746973197; 0.753s; cached=False
fig5_f01 M=1.47e+09: completed_cycle; SF=4.334963839705277; quench=339.81656450642765; 0.682s; cached=False
fig5_f01 M=2.15e+09: completed_cycle; SF=5.065864786071836; quench=346.76883392769173; 0.806s; cached=False
fig5_f01 M=3.16e+09: completed_cycle; SF=5.92918687747179; quench=314.54789169346657; 0.639s; cached=False
fig5_f01 M=4.64e+09: completed_cycle; SF=6.950330099251727; quench=285.7430318610768; 0.593s; cached=False
fig5_f01 M=6.81e+09: completed_cycle; SF=8.16002314896128; quench=260.2331208461779; 0.628s; cached=False
fig5_f01 M=1e+10: completed_cycle; SF=9.595621729868547; quench=237.60538681325667; 0.505s; cached=False
fig5_f01 M=1.47e+10: completed_cycle; SF=11.302833768402872; quench=217.2859152733135; 0.476s; cached=False
fig5_f01 M=2.15e+10: completed_cycle; SF=13.337938736698623; quench=198.9463043940346; 0.508s; cached=False
fig5_f01 M=3.16e+10: completed_cycle; SF=15.770927204926677; quench=182.24412057472668; 0.426s; cached=False
fig5_f01 M=4.64e+10: completed_cycle; SF=18.689677649817607; quench=147.68422333445466; 0.374s; cached=False
fig5_f01 M=6.81e+10: completed_cycle; SF=22.20612777692305; quench=134.60780393048304; 0.350s; cached=False
fig5_f01 M=1e+11: completed_cycle; SF=26.465221427586354; quench=107.29187813446993; 0.317s; cached=False
fig5_f01 M=1.47e+11: completed_cycle; SF=31.65864976395526; quench=95.3218499932646; 0.339s; cached=False
fig5_f01 M=2.15e+11: completed_cycle; SF=38.04702206733362; quench=84.48050273691388; 0.284s; cached=False
fig5_f01 M=3.16e+11: completed_cycle; SF=45.99767132506238; quench=61.26043691243398; 0.253s; cached=False
fig5_f01 M=4.64e+11: completed_cycle; SF=56.0586041728851; quench=51.81585341710914; 0.281s; cached=False
fig5_f01 M=6.81e+11: completed_cycle; SF=70.47453899015052; quench=28.402965410750113; 0.221s; cached=False
fig5_f01 M=1e+12: completed_cycle; SF=95.18291880666916; quench=17.43974036095551; 0.235s; cached=False
